ECM File Output,,,,,
Filename (includes date): 2025-09-08-10-32-dic13-170.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 2breaks, crater on bottom piece,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 33.41241015624998,,,,,
Y Right: 106.94491406249993,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 178.7359375,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 188.7359375,,,,,
X max Position (raw - not laser corrected): 945.5078125,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
49.412,27.75,0.0,3.731305e-08,--,na
49.412,28.0,0.0,3.7033e-08,--,na
49.412,28.25,0.0,3.74096e-08,--,na
49.412,28.5,0.0,3.709815e-08,--,na
49.412,28.75,0.0,3.686685e-08,--,na
49.412,29.0,0.0,3.777905e-08,--,na
49.412,29.25,0.0,3.69132e-08,--,na
49.412,29.5,0.0,3.64751e-08,--,na
49.412,29.75,0.0,3.6986e-08,--,na
49.412,30.0,0.0,3.700065e-08,--,na
49.412,30.25,0.0,3.69064e-08,--,na
49.412,30.5,0.0,3.7249350000000004e-08,--,na
49.412,30.75,0.0,3.688045e-08,--,na
49.412,31.0,0.0,3.74706e-08,--,na
49.412,31.25,0.0,3.72313e-08,--,na
49.412,31.5,0.0,3.67383e-08,--,na
49.412,31.75,0.0,3.67107e-08,--,na
49.412,32.0,0.0,3.64457e-08,--,na
49.412,32.25,0.0,3.66983e-08,--,na
49.412,32.5,0.0,3.60388e-08,--,na
49.412,32.75,0.0,3.6807200000000004e-08,--,na
49.412,33.0,0.0,3.655135e-08,--,na
49.412,33.25,0.0,3.67941e-08,--,na
49.412,33.5,0.0,3.54104e-08,--,na
49.412,33.75,0.0,3.61732e-08,--,na
49.412,34.0,0.0,3.65323e-08,--,na
49.412,34.25,0.0,3.63751e-08,--,na
49.412,34.5,0.0,3.5898050000000004e-08,--,na
49.412,34.75,0.0,3.5299449999999995e-08,--,na
49.412,35.0,0.0,3.485e-08,--,na
49.412,35.25,0.0,3.55539e-08,--,na
49.412,35.5,0.0,3.561075e-08,--,na
