ECM File Output,,,,,
Filename (includes date): 2025-09-09-10-07-dic-161.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 1break, took the two good sections in middle for scan, left out junk above and below,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 28.034753906249986,,,,,
Y Right: 102.18092578124994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 130.5625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 133.553125,,,,,
X max Position (raw - not laser corrected): 803.0359375,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
44.035,27.75,0.0,3.73212e-08,--,na
44.035,28.0,0.0,3.7924e-08,--,na
44.035,28.25,0.0,3.760035e-08,--,na
44.035,28.5,0.0,3.704075e-08,--,na
44.035,28.75,0.0,3.83767e-08,--,na
44.035,29.0,0.0,3.72206e-08,--,na
44.035,29.25,0.0,3.799065e-08,--,na
44.035,29.5,0.0,3.80782e-08,--,na
44.035,29.75,0.0,3.86274e-08,--,na
44.035,30.0,0.0,3.794175e-08,--,na
44.035,30.25,0.0,3.60282e-08,--,na
44.035,30.5,0.0,3.846095e-08,--,na
44.035,30.75,0.0,3.6821750000000003e-08,--,na
44.035,31.0,0.0,3.77494e-08,--,na
44.035,31.25,0.0,3.78116e-08,--,na
44.035,31.5,0.0,3.75574e-08,--,na
44.035,31.75,0.0,3.85027e-08,--,na
44.035,32.0,0.0,3.76775e-08,--,na
44.035,32.25,0.0,3.74139e-08,--,na
44.035,32.5,0.0,3.68331e-08,--,na
44.035,32.75,0.0,3.77041e-08,--,na
44.035,33.0,0.0,3.767955e-08,--,na
44.035,33.25,0.0,3.73415e-08,--,na
44.035,33.5,0.0,3.767355e-08,--,na
44.035,33.75,0.0,4.061645e-08,--,na
44.035,34.0,0.0,3.81139e-08,--,na
44.035,34.25,0.0,3.51811e-08,--,na
44.035,34.5,0.0,3.81765e-08,--,na
44.035,34.75,0.0,3.782445e-08,--,na
44.035,35.0,0.0,3.71419e-08,--,na
44.035,35.25,0.0,3.6967949999999995e-08,--,na
44.035,35.5,0.0,3.87455e-08,--,na
44.035,35.75,0.0,3.643215e-08,--,na
44.035,36.0,0.0,3.8089850000000004e-08,--,na
