ECM File Output,,,,,
Filename (includes date): 2025-09-09-10-07-dic-161.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 1break, took the two good sections in middle for scan, left out junk above and below,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 28.034753906249986,,,,,
Y Right: 102.18092578124994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 130.5625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 133.553125,,,,,
X max Position (raw - not laser corrected): 803.0359375,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
56.035,148.0,0.0,4.11052e-08,--,na
56.035,148.25,0.0,4.19252e-08,--,na
56.035,148.5,0.0,4.281725e-08,--,na
56.035,148.75,0.0,4.4541249999999995e-08,--,na
56.035,149.0,0.0,4.51493e-08,--,na
56.035,149.25,0.0,4.51588e-08,--,na
56.035,149.5,0.0,4.583705e-08,--,na
56.035,149.75,0.0,4.6456249999999996e-08,--,na
56.035,150.0,0.0,4.78935e-08,--,na
56.035,150.25,0.0,4.93946e-08,--,na
56.035,150.5,0.0,4.919415e-08,--,na
56.035,150.75,0.0,4.9965250000000005e-08,--,na
56.035,151.0,0.0,5.09023e-08,--,na
56.035,151.25,0.0,5.19468e-08,--,na
56.035,151.5,0.0,5.2295e-08,--,na
56.035,151.75,0.0,5.413505e-08,--,na
56.035,152.0,0.0,5.43992e-08,--,na
56.035,152.25,0.0,5.44753e-08,--,na
56.035,152.5,0.0,5.555e-08,--,na
56.035,152.75,0.0,5.64641e-08,--,na
56.035,153.0,0.0,5.700655e-08,--,na
56.035,153.25,0.0,5.73134e-08,--,na
56.035,153.5,0.0,5.8012449999999995e-08,--,na
56.035,153.75,0.0,5.904365e-08,--,na
56.035,154.0,0.0,5.91757e-08,--,na
56.035,154.25,0.0,5.9361600000000004e-08,--,na
56.035,154.5,0.0,5.979610000000001e-08,--,na
56.035,154.75,0.0,6.06252e-08,--,na
56.035,155.0,0.0,6.153915e-08,--,na
56.035,155.25,0.0,6.06605e-08,--,na
56.035,155.5,0.0,6.12429e-08,--,na
56.035,155.75,0.0,6.06097e-08,--,na
56.035,156.0,0.0,6.08952e-08,--,na
56.035,156.25,0.0,6.100765e-08,--,na
56.035,156.5,0.0,6.068145e-08,--,na
56.035,156.75,0.0,6.11938e-08,--,na
56.035,157.0,0.0,6.17585e-08,--,na
56.035,157.25,0.0,6.058575e-08,--,na
56.035,157.5,0.0,6.040905e-08,--,na
56.035,157.75,0.0,6.06949e-08,--,na
56.035,158.0,0.0,5.90717e-08,--,na
56.035,158.25,0.0,5.91983e-08,--,na
56.035,158.5,0.0,5.868755e-08,--,na
56.035,158.75,0.0,5.80028e-08,--,na
56.035,159.0,0.0,5.81512e-08,--,na
56.035,159.25,0.0,5.76194e-08,--,na
56.035,159.5,0.0,5.6633249999999995e-08,--,na
56.035,159.75,0.0,5.62815e-08,--,na
56.035,160.0,0.0,5.58098e-08,--,na
56.035,160.25,0.0,5.50302e-08,--,na
56.035,160.5,0.0,5.404215e-08,--,na
56.035,160.75,0.0,5.3092e-08,--,na
56.035,161.0,0.0,5.225615e-08,--,na
56.035,161.25,0.0,5.20457e-08,--,na
56.035,161.5,0.0,5.126365e-08,--,na
56.035,161.75,0.0,5.03082e-08,--,na
56.035,162.0,0.0,4.89217e-08,--,na
56.035,162.25,0.0,5.028945e-08,--,na
56.035,162.5,0.0,4.88514e-08,--,na
56.035,162.75,0.0,4.82099e-08,--,na
56.035,163.0,0.0,4.8364050000000005e-08,--,na
56.035,163.25,0.0,4.67796e-08,--,na
56.035,163.5,0.0,4.663865e-08,--,na
56.035,163.75,0.0,4.52729e-08,--,na
56.035,164.0,0.0,4.540665e-08,--,na
56.035,164.25,0.0,4.53519e-08,--,na
56.035,164.5,0.0,4.393335e-08,--,na
56.035,164.75,0.0,4.36168e-08,--,na
56.035,165.0,0.0,4.3143850000000004e-08,--,na
56.035,165.25,0.0,4.27085e-08,--,na
56.035,165.5,0.0,4.2803650000000005e-08,--,na
56.035,165.75,0.0,4.15683e-08,--,na
56.035,166.0,0.0,4.1548050000000005e-08,--,na
56.035,166.25,0.0,4.1289350000000006e-08,--,na
56.035,166.5,0.0,4.0812400000000004e-08,--,na
56.035,166.75,0.0,4.14067e-08,--,na
56.035,167.0,0.0,4.08681e-08,--,na
56.035,167.25,0.0,4.025735e-08,--,na
56.035,167.5,0.0,3.99581e-08,--,na
56.035,167.75,0.0,4.00097e-08,--,na
56.035,168.0,0.0,3.96732e-08,--,na
56.035,168.25,0.0,3.945425e-08,--,na
56.035,168.5,0.0,3.891345e-08,--,na
56.035,168.75,0.0,3.91965e-08,--,na
56.035,169.0,0.0,3.847145e-08,--,na
56.035,169.25,0.0,3.86297e-08,--,na
56.035,169.5,0.0,3.8622800000000004e-08,--,na
56.035,169.75,0.0,3.82467e-08,--,na
56.035,170.0,0.0,3.8704300000000003e-08,--,na
56.035,170.25,0.0,3.85171e-08,--,na
56.035,170.5,0.0,3.865395e-08,--,na
56.035,170.75,0.0,3.83671e-08,--,na
56.035,171.0,0.0,3.8576899999999997e-08,--,na
56.035,171.25,0.0,3.88375e-08,--,na
56.035,171.5,0.0,3.857e-08,--,na
56.035,171.75,0.0,3.82911e-08,--,na
56.035,172.0,0.0,3.8663700000000005e-08,--,na
56.035,172.25,0.0,3.8379749999999997e-08,--,na
56.035,172.5,0.0,3.87894e-08,--,na
56.035,172.75,0.0,3.843435e-08,--,na
56.035,173.0,0.0,3.82033e-08,--,na
56.035,173.25,0.0,3.801795e-08,--,na
56.035,173.5,0.0,3.8456e-08,--,na
56.035,173.75,0.0,3.77743e-08,--,na
56.035,174.0,0.0,3.8530749999999996e-08,--,na
56.035,174.25,0.0,3.826375e-08,--,na
56.035,174.5,0.0,3.81991e-08,--,na
56.035,174.75,0.0,3.83369e-08,--,na
56.035,175.0,0.0,3.881175e-08,--,na
56.035,175.25,0.0,3.82232e-08,--,na
56.035,175.5,0.0,3.8223699999999996e-08,--,na
56.035,175.75,0.0,3.88658e-08,--,na
56.035,176.0,0.0,3.8490499999999996e-08,--,na
56.035,176.25,0.0,3.8605149999999995e-08,--,na
56.035,176.5,0.0,3.84337e-08,--,na
56.035,176.75,0.0,3.91528e-08,--,na
56.035,177.0,0.0,3.87275e-08,--,na
56.035,177.25,0.0,3.9025e-08,--,na
56.035,177.5,0.0,3.86798e-08,--,na
56.035,177.75,0.0,3.88019e-08,--,na
56.035,178.0,0.0,3.83373e-08,--,na
56.035,178.25,0.0,3.88814e-08,--,na
56.035,178.5,0.0,3.85495e-08,--,na
56.035,178.75,0.0,3.86781e-08,--,na
56.035,179.0,0.0,3.839215e-08,--,na
56.035,179.25,0.0,3.8363250000000004e-08,--,na
56.035,179.5,0.0,3.85011e-08,--,na
56.035,179.75,0.0,3.8323000000000005e-08,--,na
56.035,180.0,0.0,3.82181e-08,--,na
56.035,180.25,0.0,3.86736e-08,--,na
56.035,180.5,0.0,3.8244900000000004e-08,--,na
56.035,180.75,0.0,3.7941e-08,--,na
56.035,181.0,0.0,3.80754e-08,--,na
56.035,181.25,0.0,3.799405e-08,--,na
56.035,181.5,0.0,3.73101e-08,--,na
56.035,181.75,0.0,3.7840950000000005e-08,--,na
56.035,182.0,0.0,3.777155e-08,--,na
56.035,182.25,0.0,3.76498e-08,--,na
56.035,182.5,0.0,3.88788e-08,--,na
56.035,182.75,0.0,3.834005e-08,--,na
56.035,183.0,0.0,3.80102e-08,--,na
56.035,183.25,0.0,3.77648e-08,--,na
56.035,183.5,0.0,3.81931e-08,--,na
56.035,183.75,0.0,3.787155e-08,--,na
56.035,184.0,0.0,3.7705649999999995e-08,--,na
56.035,184.25,0.0,3.7122e-08,--,na
56.035,184.5,0.0,3.76434e-08,--,na
56.035,184.75,0.0,3.73652e-08,--,na
56.035,185.0,0.0,3.760275e-08,--,na
56.035,185.25,0.0,3.774555e-08,--,na
56.035,185.5,0.0,3.75957e-08,--,na
56.035,185.75,0.0,3.7629199999999997e-08,--,na
56.035,186.0,0.0,3.753125e-08,--,na
56.035,186.25,0.0,3.7938350000000004e-08,--,na
56.035,186.5,0.0,3.78851e-08,--,na
56.035,186.75,0.0,3.79216e-08,--,na
56.035,187.0,0.0,3.751775e-08,--,na
56.035,187.25,0.0,3.789205e-08,--,na
56.035,187.5,0.0,3.75669e-08,--,na
56.035,187.75,0.0,3.7958e-08,--,na
56.035,188.0,0.0,3.798185e-08,--,na
56.035,188.25,0.0,3.8057e-08,--,na
56.035,188.5,0.0,3.80053e-08,--,na
56.035,188.75,0.0,3.78534e-08,--,na
56.035,189.0,0.0,3.8079e-08,--,na
56.035,189.25,0.0,3.8281349999999996e-08,--,na
56.035,189.5,0.0,3.84558e-08,--,na
56.035,189.75,0.0,3.88406e-08,--,na
56.035,190.0,0.0,3.860985e-08,--,na
56.035,190.25,0.0,3.92004e-08,--,na
56.035,190.5,0.0,3.876775e-08,--,na
56.035,190.75,0.0,3.90962e-08,--,na
56.035,191.0,0.0,3.92443e-08,--,na
56.035,191.25,0.0,3.96957e-08,--,na
56.035,191.5,0.0,3.95417e-08,--,na
56.035,191.75,0.0,4.027605e-08,--,na
56.035,192.0,0.0,4.01451e-08,--,na
56.035,192.25,0.0,4.01922e-08,--,na
56.035,192.5,0.0,4.030995e-08,--,na
56.035,192.75,0.0,4.07046e-08,--,na
56.035,193.0,0.0,4.01089e-08,--,na
56.035,193.25,0.0,4.084285e-08,--,na
56.035,193.5,0.0,4.09371e-08,--,na
56.035,193.75,0.0,4.1549e-08,--,na
56.035,194.0,0.0,4.1829250000000004e-08,--,na
56.035,194.25,0.0,4.22682e-08,--,na
56.035,194.5,0.0,4.17161e-08,--,na
56.035,194.75,0.0,4.1971199999999997e-08,--,na
56.035,195.0,0.0,4.2129850000000006e-08,--,na
56.035,195.25,0.0,4.2732e-08,--,na
56.035,195.5,0.0,4.24284e-08,--,na
56.035,195.75,0.0,4.2848800000000004e-08,--,na
56.035,196.0,0.0,4.2978099999999995e-08,--,na
56.035,196.25,0.0,4.3055e-08,--,na
56.035,196.5,0.0,4.32756e-08,--,na
56.035,196.75,0.0,4.381975e-08,--,na
56.035,197.0,0.0,4.3281e-08,--,na
56.035,197.25,0.0,4.38919e-08,--,na
56.035,197.5,0.0,4.344725e-08,--,na
56.035,197.75,0.0,4.42366e-08,--,na
56.035,198.0,0.0,4.3984000000000005e-08,--,na
56.035,198.25,0.0,4.36665e-08,--,na
56.035,198.5,0.0,4.40273e-08,--,na
56.035,198.75,0.0,4.37719e-08,--,na
56.035,199.0,0.0,4.410925e-08,--,na
56.035,199.25,0.0,4.40115e-08,--,na
56.035,199.5,0.0,4.41381e-08,--,na
56.035,199.75,0.0,4.375505e-08,--,na
56.035,200.0,0.0,4.44783e-08,--,na
56.035,200.25,0.0,4.40163e-08,--,na
56.035,200.5,0.0,4.39243e-08,--,na
56.035,200.75,0.0,4.383085e-08,--,na
56.035,201.0,0.0,4.404925e-08,--,na
56.035,201.25,0.0,4.38997e-08,--,na
56.035,201.5,0.0,4.396425e-08,--,na
56.035,201.75,0.0,4.405305e-08,--,na
56.035,202.0,0.0,4.39898e-08,--,na
56.035,202.25,0.0,4.39043e-08,--,na
56.035,202.5,0.0,4.373995e-08,--,na
56.035,202.75,0.0,4.35208e-08,--,na
56.035,203.0,0.0,4.36082e-08,--,na
56.035,203.25,0.0,4.343e-08,--,na
56.035,203.5,0.0,4.35372e-08,--,na
56.035,203.75,0.0,4.30795e-08,--,na
56.035,204.0,0.0,4.2753e-08,--,na
56.035,204.25,0.0,4.27856e-08,--,na
56.035,204.5,0.0,4.30369e-08,--,na
56.035,204.75,0.0,4.265675e-08,--,na
56.035,205.0,0.0,4.2315299999999995e-08,--,na
56.035,205.25,0.0,4.20032e-08,--,na
56.035,205.5,0.0,4.19757e-08,--,na
56.035,205.75,0.0,4.17757e-08,--,na
56.035,206.0,0.0,4.12629e-08,--,na
56.035,206.25,0.0,4.08445e-08,--,na
56.035,206.5,0.0,4.0635200000000004e-08,--,na
56.035,206.75,0.0,4.040215e-08,--,na
56.035,207.0,0.0,4.02107e-08,--,na
56.035,207.25,0.0,3.92573e-08,--,na
56.035,207.5,0.0,3.90518e-08,--,na
56.035,207.75,0.0,3.912855e-08,--,na
56.035,208.0,0.0,3.8074800000000004e-08,--,na
56.035,208.25,0.0,3.74804e-08,--,na
56.035,208.5,0.0,3.702805e-08,--,na
56.035,208.75,0.0,3.66351e-08,--,na
56.035,209.0,0.0,3.63533e-08,--,na
56.035,209.25,0.0,3.57733e-08,--,na
56.035,209.5,0.0,3.55086e-08,--,na
56.035,209.75,0.0,3.52424e-08,--,na
56.035,210.0,0.0,3.39655e-08,--,na
56.035,210.25,0.0,3.398965e-08,--,na
56.035,210.5,0.0,3.347845e-08,--,na
56.035,210.75,0.0,3.30707e-08,--,na
56.035,211.0,0.0,3.298685e-08,--,na
56.035,211.25,0.0,3.25831e-08,--,na
56.035,211.5,0.0,3.18429e-08,--,na
56.035,211.75,0.0,3.1708999999999996e-08,--,na
56.035,212.0,0.0,3.16006e-08,--,na
56.035,212.25,0.0,3.1084300000000005e-08,--,na
56.035,212.5,0.0,3.092895e-08,--,na
56.035,212.75,0.0,3.03453e-08,--,na
56.035,213.0,0.0,3.02811e-08,--,na
56.035,213.25,0.0,3.01667e-08,--,na
56.035,213.5,0.0,2.9577899999999996e-08,--,na
56.035,213.75,0.0,2.9666500000000003e-08,--,na
56.035,214.0,0.0,2.93424e-08,--,na
56.035,214.25,0.0,2.9401e-08,--,na
56.035,214.5,0.0,2.9238e-08,--,na
56.035,214.75,0.0,2.86772e-08,--,na
56.035,215.0,0.0,2.88644e-08,--,na
56.035,215.25,0.0,2.8612550000000002e-08,--,na
56.035,215.5,0.0,2.844085e-08,--,na
56.035,215.75,0.0,2.81842e-08,--,na
56.035,216.0,0.0,2.81835e-08,--,na
56.035,216.25,0.0,2.8099300000000002e-08,--,na
56.035,216.5,0.0,2.78131e-08,--,na
56.035,216.75,0.0,2.80106e-08,--,na
56.035,217.0,0.0,2.79967e-08,--,na
56.035,217.25,0.0,2.7821750000000002e-08,--,na
56.035,217.5,0.0,2.748955e-08,--,na
56.035,217.75,0.0,2.732535e-08,--,na
56.035,218.0,0.0,2.72909e-08,--,na
56.035,218.25,0.0,2.7581e-08,--,na
56.035,218.5,0.0,2.727535e-08,--,na
56.035,218.75,0.0,2.70498e-08,--,na
56.035,219.0,0.0,2.70612e-08,--,na
56.035,219.25,0.0,2.67844e-08,--,na
56.035,219.5,0.0,2.692825e-08,--,na
56.035,219.75,0.0,2.7316849999999998e-08,--,na
56.035,220.0,0.0,2.70597e-08,--,na
56.035,220.25,0.0,2.6986799999999998e-08,--,na
56.035,220.5,0.0,2.68066e-08,--,na
56.035,220.75,0.0,2.6900399999999998e-08,--,na
56.035,221.0,0.0,2.70976e-08,--,na
56.035,221.25,0.0,2.680405e-08,--,na
56.035,221.5,0.0,2.68609e-08,--,na
56.035,221.75,0.0,2.660355e-08,--,na
56.035,222.0,0.0,2.67528e-08,--,na
56.035,222.25,0.0,2.662205e-08,--,na
56.035,222.5,0.0,2.6496750000000002e-08,--,na
56.035,222.75,0.0,2.67546e-08,--,na
56.035,223.0,0.0,2.6482450000000003e-08,--,na
56.035,223.25,0.0,2.64651e-08,--,na
56.035,223.5,0.0,2.62564e-08,--,na
56.035,223.75,0.0,2.668065e-08,--,na
56.035,224.0,0.0,2.65669e-08,--,na
56.035,224.25,0.0,2.64407e-08,--,na
56.035,224.5,0.0,2.62195e-08,--,na
56.035,224.75,0.0,2.6543649999999997e-08,--,na
56.035,225.0,0.0,2.62011e-08,--,na
56.035,225.25,0.0,2.63775e-08,--,na
56.035,225.5,0.0,2.6308300000000003e-08,--,na
56.035,225.75,0.0,2.626625e-08,--,na
56.035,226.0,0.0,2.63557e-08,--,na
56.035,226.25,0.0,2.63097e-08,--,na
56.035,226.5,0.0,2.592895e-08,--,na
56.035,226.75,0.0,2.66276e-08,--,na
56.035,227.0,0.0,2.622185e-08,--,na
56.035,227.25,0.0,2.63866e-08,--,na
56.035,227.5,0.0,2.605415e-08,--,na
56.035,227.75,0.0,2.61761e-08,--,na
56.035,228.0,0.0,2.59894e-08,--,na
56.035,228.25,0.0,2.579915e-08,--,na
56.035,228.5,0.0,2.59054e-08,--,na
56.035,228.75,0.0,2.60252e-08,--,na
56.035,229.0,0.0,2.54525e-08,--,na
56.035,229.25,0.0,2.580425e-08,--,na
56.035,229.5,0.0,2.585155e-08,--,na
56.035,229.75,0.0,2.58338e-08,--,na
56.035,230.0,0.0,2.57577e-08,--,na
56.035,230.25,0.0,2.56495e-08,--,na
56.035,230.5,0.0,2.562985e-08,--,na
56.035,230.75,0.0,2.57064e-08,--,na
56.035,231.0,0.0,2.5523e-08,--,na
56.035,231.25,0.0,2.56955e-08,--,na
56.035,231.5,0.0,2.58986e-08,--,na
56.035,231.75,0.0,2.56918e-08,--,na
56.035,232.0,0.0,2.54439e-08,--,na
56.035,232.25,0.0,2.53997e-08,--,na
56.035,232.5,0.0,2.558935e-08,--,na
56.035,232.75,0.0,2.56273e-08,--,na
56.035,233.0,0.0,2.537645e-08,--,na
56.035,233.25,0.0,2.5249e-08,--,na
56.035,233.5,0.0,2.52455e-08,--,na
56.035,233.75,0.0,2.56824e-08,--,na
56.035,234.0,0.0,2.53352e-08,--,na
56.035,234.25,0.0,2.5296999999999998e-08,--,na
56.035,234.5,0.0,2.509125e-08,--,na
56.035,234.75,0.0,2.52598e-08,--,na
56.035,235.0,0.0,2.501775e-08,--,na
56.035,235.25,0.0,2.51089e-08,--,na
56.035,235.5,0.0,2.527665e-08,--,na
56.035,235.75,0.0,2.48096e-08,--,na
56.035,236.0,0.0,2.5072e-08,--,na
56.035,236.25,0.0,2.485355e-08,--,na
56.035,236.5,0.0,2.53849e-08,--,na
56.035,236.75,0.0,2.48206e-08,--,na
56.035,237.0,0.0,2.4993450000000002e-08,--,na
56.035,237.25,0.0,2.48188e-08,--,na
56.035,237.5,0.0,2.49894e-08,--,na
56.035,237.75,0.0,2.48431e-08,--,na
56.035,238.0,0.0,2.532235e-08,--,na
56.035,238.25,0.0,2.5158050000000002e-08,--,na
56.035,238.5,0.0,2.516485e-08,--,na
56.035,238.75,0.0,2.50475e-08,--,na
56.035,239.0,0.0,2.546915e-08,--,na
56.035,239.25,0.0,2.529645e-08,--,na
56.035,239.5,0.0,2.52012e-08,--,na
56.035,239.75,0.0,2.53495e-08,--,na
56.035,240.0,0.0,2.5387e-08,--,na
56.035,240.25,0.0,2.55608e-08,--,na
56.035,240.5,0.0,2.611825e-08,--,na
56.035,240.75,0.0,2.58642e-08,--,na
56.035,241.0,0.0,2.577405e-08,--,na
56.035,241.25,0.0,2.56782e-08,--,na
56.035,241.5,0.0,2.5683550000000002e-08,--,na
56.035,241.75,0.0,2.59206e-08,--,na
56.035,242.0,0.0,2.601975e-08,--,na
56.035,242.25,0.0,2.58765e-08,--,na
56.035,242.5,0.0,2.59311e-08,--,na
56.035,242.75,0.0,2.608e-08,--,na
56.035,243.0,0.0,2.65547e-08,--,na
56.035,243.25,0.0,2.5867250000000003e-08,--,na
56.035,243.5,0.0,2.6177249999999997e-08,--,na
56.035,243.75,0.0,2.64435e-08,--,na
56.035,244.0,0.0,2.616325e-08,--,na
56.035,244.25,0.0,2.614955e-08,--,na
56.035,244.5,0.0,2.6113700000000002e-08,--,na
56.035,244.75,0.0,2.61424e-08,--,na
56.035,245.0,0.0,2.632835e-08,--,na
56.035,245.25,0.0,2.61665e-08,--,na
56.035,245.5,0.0,2.614e-08,--,na
56.035,245.75,0.0,2.62043e-08,--,na
56.035,246.0,0.0,2.65245e-08,--,na
56.035,246.25,0.0,2.61444e-08,--,na
56.035,246.5,0.0,2.6450299999999998e-08,--,na
56.035,246.75,0.0,2.60254e-08,--,na
56.035,247.0,0.0,2.6185099999999998e-08,--,na
56.035,247.25,0.0,2.61727e-08,--,na
56.035,247.5,0.0,2.62664e-08,--,na
56.035,247.75,0.0,2.63924e-08,--,na
56.035,248.0,0.0,2.6369600000000002e-08,--,na
56.035,248.25,0.0,2.620265e-08,--,na
56.035,248.5,0.0,2.6171e-08,--,na
56.035,248.75,0.0,2.6381399999999998e-08,--,na
56.035,249.0,0.0,2.628805e-08,--,na
56.035,249.25,0.0,2.60643e-08,--,na
56.035,249.5,0.0,2.57315e-08,--,na
56.035,249.75,0.0,2.61069e-08,--,na
56.035,250.0,0.0,2.612795e-08,--,na
56.035,250.25,0.0,2.60647e-08,--,na
56.035,250.5,0.0,2.60562e-08,--,na
56.035,250.75,0.0,2.61241e-08,--,na
56.035,251.0,0.0,2.58315e-08,--,na
56.035,251.25,0.0,2.5900549999999997e-08,--,na
56.035,251.5,0.0,2.56915e-08,--,na
56.035,251.75,0.0,2.594495e-08,--,na
56.035,252.0,0.0,2.578135e-08,--,na
56.035,252.25,0.0,2.56389e-08,--,na
56.035,252.5,0.0,2.5461300000000002e-08,--,na
56.035,252.75,0.0,2.54785e-08,--,na
56.035,253.0,0.0,2.540015e-08,--,na
56.035,253.25,0.0,2.5726299999999998e-08,--,na
56.035,253.5,0.0,2.55948e-08,--,na
56.035,253.75,0.0,2.537685e-08,--,na
56.035,254.0,0.0,2.524715e-08,--,na
56.035,254.25,0.0,2.53695e-08,--,na
56.035,254.5,0.0,2.54314e-08,--,na
56.035,254.75,0.0,2.55217e-08,--,na
56.035,255.0,0.0,2.515195e-08,--,na
56.035,255.25,0.0,2.51039e-08,--,na
56.035,255.5,0.0,2.51875e-08,--,na
56.035,255.75,0.0,2.5140300000000002e-08,--,na
56.035,256.0,0.0,2.493295e-08,--,na
56.035,256.25,0.0,2.51314e-08,--,na
56.035,256.5,0.0,2.51349e-08,--,na
56.035,256.75,0.0,2.54904e-08,--,na
56.035,257.0,0.0,2.52931e-08,--,na
56.035,257.25,0.0,2.52792e-08,--,na
56.035,257.5,0.0,2.492955e-08,--,na
56.035,257.75,0.0,2.52379e-08,--,na
56.035,258.0,0.0,2.5253e-08,--,na
56.035,258.25,0.0,2.534935e-08,--,na
56.035,258.5,0.0,2.50779e-08,--,na
56.035,258.75,0.0,2.536525e-08,--,na
56.035,259.0,0.0,2.565365e-08,--,na
56.035,259.25,0.0,2.5271250000000002e-08,--,na
56.035,259.5,0.0,2.5386e-08,--,na
56.035,259.75,0.0,2.564105e-08,--,na
56.035,260.0,0.0,2.623355e-08,--,na
56.035,260.25,0.0,2.58342e-08,--,na
56.035,260.5,0.0,2.58012e-08,--,na
56.035,260.75,0.0,2.607195e-08,--,na
56.035,261.0,0.0,2.607005e-08,--,na
56.035,261.25,0.0,2.62578e-08,--,na
56.035,261.5,0.0,2.61297e-08,--,na
56.035,261.75,0.0,2.63649e-08,--,na
56.035,262.0,0.0,2.612635e-08,--,na
56.035,262.25,0.0,2.60067e-08,--,na
56.035,262.5,0.0,2.63507e-08,--,na
56.035,262.75,0.0,2.64043e-08,--,na
56.035,263.0,0.0,2.647085e-08,--,na
56.035,263.25,0.0,2.65598e-08,--,na
56.035,263.5,0.0,2.64887e-08,--,na
56.035,263.75,0.0,2.66391e-08,--,na
56.035,264.0,0.0,2.67536e-08,--,na
56.035,264.25,0.0,2.66174e-08,--,na
56.035,264.5,0.0,2.70446e-08,--,na
56.035,264.75,0.0,2.678625e-08,--,na
56.035,265.0,0.0,2.683425e-08,--,na
56.035,265.25,0.0,2.70424e-08,--,na
56.035,265.5,0.0,2.697365e-08,--,na
56.035,265.75,0.0,2.73112e-08,--,na
56.035,266.0,0.0,2.7234450000000002e-08,--,na
56.035,266.25,0.0,2.721285e-08,--,na
56.035,266.5,0.0,2.75193e-08,--,na
56.035,266.75,0.0,2.7457050000000002e-08,--,na
56.035,267.0,0.0,2.7542850000000002e-08,--,na
56.035,267.25,0.0,2.74778e-08,--,na
56.035,267.5,0.0,2.77128e-08,--,na
56.035,267.75,0.0,2.7875e-08,--,na
56.035,268.0,0.0,2.75789e-08,--,na
56.035,268.25,0.0,2.75873e-08,--,na
56.035,268.5,0.0,2.7820650000000002e-08,--,na
56.035,268.75,0.0,2.77999e-08,--,na
56.035,269.0,0.0,2.797755e-08,--,na
56.035,269.25,0.0,2.95796e-08,--,na
56.035,269.5,0.0,2.7542649999999998e-08,--,na
56.035,269.75,0.0,2.80352e-08,--,na
56.035,270.0,0.0,2.8826850000000002e-08,--,na
56.035,270.25,0.0,2.85774e-08,--,na
56.035,270.5,0.0,2.84848e-08,--,na
56.035,270.75,0.0,2.8222949999999998e-08,--,na
56.035,271.0,0.0,2.8798450000000002e-08,--,na
56.035,271.25,0.0,2.94459e-08,--,na
56.035,271.5,0.0,2.98183e-08,--,na
56.035,271.75,0.0,2.9229e-08,--,na
56.035,272.0,0.0,2.92646e-08,--,na
56.035,272.25,0.0,3.03294e-08,--,na
56.035,272.5,0.0,2.9562999999999998e-08,--,na
56.035,272.75,0.0,3.004505e-08,--,na
56.035,273.0,0.0,2.99306e-08,--,na
56.035,273.25,0.0,2.9915800000000004e-08,--,na
56.035,273.5,0.0,3.04958e-08,--,na
56.035,273.75,0.0,3.03772e-08,--,na
56.035,274.0,0.0,3.0305299999999995e-08,--,na
56.035,274.25,0.0,3.08887e-08,--,na
56.035,274.5,0.0,3.0835199999999995e-08,--,na
56.035,274.75,0.0,3.059035e-08,--,na
56.035,275.0,0.0,3.09696e-08,--,na
56.035,275.25,0.0,3.12547e-08,--,na
56.035,275.5,0.0,3.1209549999999995e-08,--,na
56.035,275.75,0.0,3.17259e-08,--,na
56.035,276.0,0.0,3.20268e-08,--,na
56.035,276.25,0.0,3.16396e-08,--,na
56.035,276.5,0.0,3.203925e-08,--,na
56.035,276.75,0.0,3.235635e-08,--,na
56.035,277.0,0.0,3.14132e-08,--,na
56.035,277.25,0.0,3.286765e-08,--,na
56.035,277.5,0.0,3.3311e-08,--,na
56.035,277.75,0.0,3.3047150000000006e-08,--,na
56.035,278.0,0.0,3.35188e-08,--,na
56.035,278.25,0.0,3.38339e-08,--,na
56.035,278.5,0.0,3.4144350000000004e-08,--,na
56.035,278.75,0.0,3.4565e-08,--,na
56.035,279.0,0.0,3.4430600000000004e-08,--,na
56.035,279.25,0.0,3.50148e-08,--,na
56.035,279.5,0.0,3.54004e-08,--,na
56.035,279.75,0.0,3.53925e-08,--,na
56.035,280.0,0.0,3.601105e-08,--,na
56.035,280.25,0.0,3.66362e-08,--,na
56.035,280.5,0.0,3.628415e-08,--,na
56.035,280.75,0.0,3.64986e-08,--,na
56.035,281.0,0.0,3.685785e-08,--,na
56.035,281.25,0.0,3.66467e-08,--,na
56.035,281.5,0.0,3.74117e-08,--,na
56.035,281.75,0.0,3.72012e-08,--,na
56.035,282.0,0.0,3.78531e-08,--,na
56.035,282.25,0.0,3.82417e-08,--,na
56.035,282.5,0.0,3.9142050000000003e-08,--,na
56.035,282.75,0.0,3.9075400000000006e-08,--,na
56.035,283.0,0.0,3.91841e-08,--,na
56.035,283.25,0.0,3.89146e-08,--,na
56.035,283.5,0.0,3.9524650000000006e-08,--,na
56.035,283.75,0.0,3.96447e-08,--,na
56.035,284.0,0.0,4.02809e-08,--,na
56.035,284.25,0.0,4.11459e-08,--,na
56.035,284.5,0.0,4.03155e-08,--,na
56.035,284.75,0.0,3.999705e-08,--,na
56.035,285.0,0.0,4.04399e-08,--,na
