ECM File Output,,,,,
Filename (includes date): 2025-09-12-09-45-dic-187a.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: ,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 26.108421874999987,,,,,
Y Right: 97.83316015624995,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 312.61093750000003,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: no breaks,,,,,
X min Position (raw - not laser corrected): 323.046875,,,,,
X max Position (raw - not laser corrected): 742.0343750000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
42.108,28.0,0.0,4.26523e-08,--,na
42.108,28.25,0.0,4.32785e-08,--,na
42.108,28.5,0.0,4.29184e-08,--,na
42.108,28.75,0.0,4.36226e-08,--,na
42.108,29.0,0.0,4.3069800000000004e-08,--,na
42.108,29.25,0.0,4.2343e-08,--,na
42.108,29.5,0.0,4.25043e-08,--,na
42.108,29.75,0.0,4.30125e-08,--,na
42.108,30.0,0.0,4.26577e-08,--,na
42.108,30.25,0.0,4.26336e-08,--,na
42.108,30.5,0.0,4.277195e-08,--,na
42.108,30.75,0.0,4.25169e-08,--,na
42.108,31.0,0.0,4.25024e-08,--,na
42.108,31.25,0.0,4.22866e-08,--,na
42.108,31.5,0.0,4.27266e-08,--,na
42.108,31.75,0.0,4.282935e-08,--,na
42.108,32.0,0.0,4.26041e-08,--,na
42.108,32.25,0.0,4.26727e-08,--,na
42.108,32.5,0.0,4.275985e-08,--,na
42.108,32.75,0.0,4.29783e-08,--,na
42.108,33.0,0.0,4.32642e-08,--,na
42.108,33.25,0.0,4.35295e-08,--,na
42.108,33.5,0.0,4.3709600000000004e-08,--,na
42.108,33.75,0.0,4.381275e-08,--,na
42.108,34.0,0.0,4.32601e-08,--,na
42.108,34.25,0.0,4.43494e-08,--,na
42.108,34.5,0.0,4.40894e-08,--,na
42.108,34.75,0.0,4.408255e-08,--,na
42.108,35.0,0.0,4.47519e-08,--,na
42.108,35.25,0.0,4.473645e-08,--,na
42.108,35.5,0.0,4.51292e-08,--,na
42.108,35.75,0.0,4.4879e-08,--,na
42.108,36.0,0.0,4.39434e-08,--,na
42.108,36.25,0.0,4.593205e-08,--,na
42.108,36.5,0.0,4.55527e-08,--,na
42.108,36.75,0.0,4.58237e-08,--,na
42.108,37.0,0.0,4.63641e-08,--,na
42.108,37.25,0.0,4.658445e-08,--,na
42.108,37.5,0.0,4.63254e-08,--,na
42.108,37.75,0.0,4.6665e-08,--,na
42.108,38.0,0.0,4.73573e-08,--,na
42.108,38.25,0.0,4.753005e-08,--,na
42.108,38.5,0.0,4.7876049999999994e-08,--,na
42.108,38.75,0.0,4.61834e-08,--,na
42.108,39.0,0.0,4.78095e-08,--,na
42.108,39.25,0.0,4.809125e-08,--,na
42.108,39.5,0.0,4.82757e-08,--,na
42.108,39.75,0.0,4.83184e-08,--,na
42.108,40.0,0.0,4.82198e-08,--,na
42.108,40.25,0.0,4.83376e-08,--,na
42.108,40.5,0.0,4.8834250000000006e-08,--,na
42.108,40.75,0.0,4.85581e-08,--,na
42.108,41.0,0.0,4.8827449999999996e-08,--,na
42.108,41.25,0.0,4.83237e-08,--,na
42.108,41.5,0.0,4.90797e-08,--,na
42.108,41.75,0.0,4.94236e-08,--,na
42.108,42.0,0.0,4.8978150000000005e-08,--,na
42.108,42.25,0.0,4.91406e-08,--,na
42.108,42.5,0.0,4.90124e-08,--,na
42.108,42.75,0.0,4.86619e-08,--,na
42.108,43.0,0.0,4.92611e-08,--,na
42.108,43.25,0.0,4.99949e-08,--,na
42.108,43.5,0.0,4.982865e-08,--,na
42.108,43.75,0.0,4.97378e-08,--,na
42.108,44.0,0.0,5.0312e-08,--,na
42.108,44.25,0.0,4.97074e-08,--,na
42.108,44.5,0.0,4.92161e-08,--,na
42.108,44.75,0.0,4.94873e-08,--,na
42.108,45.0,0.0,4.9399449999999996e-08,--,na
42.108,45.25,0.0,4.94139e-08,--,na
42.108,45.5,0.0,4.91036e-08,--,na
42.108,45.75,0.0,4.97849e-08,--,na
42.108,46.0,0.0,5.003285e-08,--,na
42.108,46.25,0.0,4.9993e-08,--,na
42.108,46.5,0.0,5.00632e-08,--,na
42.108,46.75,0.0,5.07728e-08,--,na
42.108,47.0,0.0,5.046615e-08,--,na
42.108,47.25,0.0,5.012365e-08,--,na
42.108,47.5,0.0,5.086655e-08,--,na
42.108,47.75,0.0,5.08706e-08,--,na
42.108,48.0,0.0,5.13391e-08,--,na
42.108,48.25,0.0,5.17661e-08,--,na
42.108,48.5,0.0,5.1593949999999996e-08,--,na
42.108,48.75,0.0,5.18735e-08,--,na
42.108,49.0,0.0,5.29035e-08,--,na
42.108,49.25,0.0,5.19136e-08,--,na
42.108,49.5,0.0,5.2630599999999995e-08,--,na
42.108,49.75,0.0,5.32553e-08,--,na
42.108,50.0,0.0,5.364605e-08,--,na
42.108,50.25,0.0,5.39378e-08,--,na
42.108,50.5,0.0,5.4420700000000005e-08,--,na
42.108,50.75,0.0,5.38865e-08,--,na
42.108,51.0,0.0,5.42848e-08,--,na
42.108,51.25,0.0,5.40784e-08,--,na
42.108,51.5,0.0,5.43521e-08,--,na
42.108,51.75,0.0,5.41746e-08,--,na
42.108,52.0,0.0,5.48993e-08,--,na
42.108,52.25,0.0,5.51791e-08,--,na
42.108,52.5,0.0,5.56976e-08,--,na
42.108,52.75,0.0,5.53901e-08,--,na
42.108,53.0,0.0,5.650885e-08,--,na
42.108,53.25,0.0,5.70896e-08,--,na
42.108,53.5,0.0,5.685135e-08,--,na
42.108,53.75,0.0,5.72486e-08,--,na
42.108,54.0,0.0,5.7348350000000004e-08,--,na
42.108,54.25,0.0,5.79792e-08,--,na
42.108,54.5,0.0,5.86194e-08,--,na
42.108,54.75,0.0,5.87998e-08,--,na
42.108,55.0,0.0,5.8895549999999996e-08,--,na
42.108,55.25,0.0,5.91098e-08,--,na
42.108,55.5,0.0,5.970115e-08,--,na
42.108,55.75,0.0,5.94004e-08,--,na
42.108,56.0,0.0,6.033555e-08,--,na
42.108,56.25,0.0,6.07113e-08,--,na
42.108,56.5,0.0,6.050565e-08,--,na
42.108,56.75,0.0,6.08761e-08,--,na
42.108,57.0,0.0,6.19311e-08,--,na
42.108,57.25,0.0,6.230814999999999e-08,--,na
42.108,57.5,0.0,6.311550000000001e-08,--,na
42.108,57.75,0.0,6.39927e-08,--,na
42.108,58.0,0.0,6.38707e-08,--,na
42.108,58.25,0.0,6.483395e-08,--,na
42.108,58.5,0.0,6.43256e-08,--,na
42.108,58.75,0.0,6.56689e-08,--,na
42.108,59.0,0.0,6.68182e-08,--,na
42.108,59.25,0.0,6.61583e-08,--,na
42.108,59.5,0.0,6.69634e-08,--,na
42.108,59.75,0.0,6.71025e-08,--,na
42.108,60.0,0.0,6.80274e-08,--,na
42.108,60.25,0.0,6.82456e-08,--,na
42.108,60.5,0.0,6.874825e-08,--,na
42.108,60.75,0.0,6.86864e-08,--,na
42.108,61.0,0.0,6.883380000000001e-08,--,na
42.108,61.25,0.0,6.874425e-08,--,na
42.108,61.5,0.0,6.97656e-08,--,na
42.108,61.75,0.0,6.7966e-08,--,na
42.108,62.0,0.0,6.96646e-08,--,na
42.108,62.25,0.0,6.994745e-08,--,na
42.108,62.5,0.0,6.93722e-08,--,na
42.108,62.75,0.0,6.92864e-08,--,na
42.108,63.0,0.0,7.003525e-08,--,na
42.108,63.25,0.0,7.004259999999999e-08,--,na
42.108,63.5,0.0,6.85702e-08,--,na
42.108,63.75,0.0,7.011105e-08,--,na
42.108,64.0,0.0,7.02497e-08,--,na
42.108,64.25,0.0,7.009775e-08,--,na
42.108,64.5,0.0,6.92679e-08,--,na
42.108,64.75,0.0,6.97016e-08,--,na
42.108,65.0,0.0,7.01847e-08,--,na
42.108,65.25,0.0,7.014605e-08,--,na
42.108,65.5,0.0,7.0226e-08,--,na
42.108,65.75,0.0,7.017665000000001e-08,--,na
42.108,66.0,0.0,7.015615e-08,--,na
42.108,66.25,0.0,7.00563e-08,--,na
42.108,66.5,0.0,7.04943e-08,--,na
42.108,66.75,0.0,6.96113e-08,--,na
42.108,67.0,0.0,6.917245e-08,--,na
42.108,67.25,0.0,6.91238e-08,--,na
42.108,67.5,0.0,6.85811e-08,--,na
42.108,67.75,0.0,6.817095e-08,--,na
42.108,68.0,0.0,6.773159999999999e-08,--,na
42.108,68.25,0.0,6.76943e-08,--,na
42.108,68.5,0.0,6.72413e-08,--,na
42.108,68.75,0.0,6.692505e-08,--,na
42.108,69.0,0.0,6.667665000000001e-08,--,na
42.108,69.25,0.0,6.64074e-08,--,na
42.108,69.5,0.0,6.55979e-08,--,na
42.108,69.75,0.0,6.556375000000001e-08,--,na
42.108,70.0,0.0,6.474165e-08,--,na
42.108,70.25,0.0,6.45098e-08,--,na
42.108,70.5,0.0,6.41441e-08,--,na
42.108,70.75,0.0,6.39152e-08,--,na
42.108,71.0,0.0,6.35907e-08,--,na
42.108,71.25,0.0,6.29117e-08,--,na
42.108,71.5,0.0,6.22951e-08,--,na
42.108,71.75,0.0,6.10815e-08,--,na
42.108,72.0,0.0,6.140075e-08,--,na
42.108,72.25,0.0,6.14706e-08,--,na
42.108,72.5,0.0,6.01125e-08,--,na
42.108,72.75,0.0,6.09376e-08,--,na
42.108,73.0,0.0,6.043975e-08,--,na
42.108,73.25,0.0,5.9533900000000003e-08,--,na
42.108,73.5,0.0,5.95665e-08,--,na
42.108,73.75,0.0,5.803305e-08,--,na
42.108,74.0,0.0,5.80266e-08,--,na
42.108,74.25,0.0,5.708725e-08,--,na
42.108,74.5,0.0,5.62042e-08,--,na
42.108,74.75,0.0,5.56486e-08,--,na
42.108,75.0,0.0,5.57185e-08,--,na
42.108,75.25,0.0,5.408095e-08,--,na
42.108,75.5,0.0,5.49515e-08,--,na
42.108,75.75,0.0,5.3656450000000005e-08,--,na
42.108,76.0,0.0,5.185065e-08,--,na
42.108,76.25,0.0,5.22278e-08,--,na
42.108,76.5,0.0,5.24275e-08,--,na
42.108,76.75,0.0,5.17758e-08,--,na
42.108,77.0,0.0,5.1403300000000003e-08,--,na
42.108,77.25,0.0,5.15902e-08,--,na
42.108,77.5,0.0,5.06301e-08,--,na
42.108,77.75,0.0,4.94226e-08,--,na
42.108,78.0,0.0,4.9491300000000006e-08,--,na
42.108,78.25,0.0,4.85977e-08,--,na
42.108,78.5,0.0,4.82006e-08,--,na
42.108,78.75,0.0,4.81392e-08,--,na
42.108,79.0,0.0,4.710615e-08,--,na
42.108,79.25,0.0,4.6923e-08,--,na
42.108,79.5,0.0,4.69412e-08,--,na
42.108,79.75,0.0,4.6311900000000006e-08,--,na
42.108,80.0,0.0,4.6017050000000004e-08,--,na
42.108,80.25,0.0,4.53e-08,--,na
42.108,80.5,0.0,4.52351e-08,--,na
42.108,80.75,0.0,4.50536e-08,--,na
42.108,81.0,0.0,4.41756e-08,--,na
42.108,81.25,0.0,4.4165e-08,--,na
42.108,81.5,0.0,4.394355e-08,--,na
42.108,81.75,0.0,4.27704e-08,--,na
42.108,82.0,0.0,4.29223e-08,--,na
42.108,82.25,0.0,4.20237e-08,--,na
42.108,82.5,0.0,4.316355e-08,--,na
42.108,82.75,0.0,4.2405249999999995e-08,--,na
42.108,83.0,0.0,4.18099e-08,--,na
42.108,83.25,0.0,4.20669e-08,--,na
42.108,83.5,0.0,4.1980550000000006e-08,--,na
42.108,83.75,0.0,4.174965e-08,--,na
42.108,84.0,0.0,4.1447e-08,--,na
42.108,84.25,0.0,4.00491e-08,--,na
42.108,84.5,0.0,4.10013e-08,--,na
42.108,84.75,0.0,4.10061e-08,--,na
42.108,85.0,0.0,4.067035e-08,--,na
42.108,85.25,0.0,4.04355e-08,--,na
42.108,85.5,0.0,3.982505e-08,--,na
42.108,85.75,0.0,4.010095e-08,--,na
42.108,86.0,0.0,3.9943e-08,--,na
42.108,86.25,0.0,3.95896e-08,--,na
42.108,86.5,0.0,3.9882899999999995e-08,--,na
42.108,86.75,0.0,3.940815e-08,--,na
42.108,87.0,0.0,3.93502e-08,--,na
42.108,87.25,0.0,3.9915e-08,--,na
42.108,87.5,0.0,3.9759350000000005e-08,--,na
42.108,87.75,0.0,3.906925e-08,--,na
42.108,88.0,0.0,3.9176999999999994e-08,--,na
42.108,88.25,0.0,3.84591e-08,--,na
42.108,88.5,0.0,3.89105e-08,--,na
42.108,88.75,0.0,3.8499299999999996e-08,--,na
42.108,89.0,0.0,3.890705e-08,--,na
42.108,89.25,0.0,3.8419e-08,--,na
42.108,89.5,0.0,3.80872e-08,--,na
42.108,89.75,0.0,3.85465e-08,--,na
42.108,90.0,0.0,3.742475e-08,--,na
42.108,90.25,0.0,3.73646e-08,--,na
42.108,90.5,0.0,3.72352e-08,--,na
42.108,90.75,0.0,3.6998600000000004e-08,--,na
42.108,91.0,0.0,3.74486e-08,--,na
42.108,91.25,0.0,3.71597e-08,--,na
42.108,91.5,0.0,3.74226e-08,--,na
42.108,91.75,0.0,3.70803e-08,--,na
42.108,92.0,0.0,3.75674e-08,--,na
42.108,92.25,0.0,3.67735e-08,--,na
42.108,92.5,0.0,3.65237e-08,--,na
42.108,92.75,0.0,3.60193e-08,--,na
42.108,93.0,0.0,3.590305e-08,--,na
42.108,93.25,0.0,3.5634e-08,--,na
42.108,93.5,0.0,3.481605e-08,--,na
42.108,93.75,0.0,3.62368e-08,--,na
42.108,94.0,0.0,3.5599549999999997e-08,--,na
42.108,94.25,0.0,3.51635e-08,--,na
42.108,94.5,0.0,3.5309749999999996e-08,--,na
42.108,94.75,0.0,3.47844e-08,--,na
42.108,95.0,0.0,3.391725e-08,--,na
42.108,95.25,0.0,3.46168e-08,--,na
42.108,95.5,0.0,3.496485e-08,--,na
42.108,95.75,0.0,3.471395e-08,--,na
42.108,96.0,0.0,3.40854e-08,--,na
42.108,96.25,0.0,3.40904e-08,--,na
42.108,96.5,0.0,3.437165e-08,--,na
42.108,96.75,0.0,3.4184e-08,--,na
42.108,97.0,0.0,3.39447e-08,--,na
42.108,97.25,0.0,3.37178e-08,--,na
42.108,97.5,0.0,3.36556e-08,--,na
42.108,97.75,0.0,3.33893e-08,--,na
42.108,98.0,0.0,3.33646e-08,--,na
42.108,98.25,0.0,3.3509450000000004e-08,--,na
42.108,98.5,0.0,3.36777e-08,--,na
42.108,98.75,0.0,3.341405e-08,--,na
42.108,99.0,0.0,3.34836e-08,--,na
42.108,99.25,0.0,3.338295e-08,--,na
42.108,99.5,0.0,3.32738e-08,--,na
42.108,99.75,0.0,3.3461600000000004e-08,--,na
42.108,100.0,0.0,3.326255e-08,--,na
42.108,100.25,0.0,3.31247e-08,--,na
42.108,100.5,0.0,3.335075e-08,--,na
42.108,100.75,0.0,3.30472e-08,--,na
42.108,101.0,0.0,3.32253e-08,--,na
42.108,101.25,0.0,3.26852e-08,--,na
42.108,101.5,0.0,3.330665e-08,--,na
42.108,101.75,0.0,3.41071e-08,--,na
42.108,102.0,0.0,3.3331349999999995e-08,--,na
42.108,102.25,0.0,3.40912e-08,--,na
42.108,102.5,0.0,3.34282e-08,--,na
42.108,102.75,0.0,3.3878649999999996e-08,--,na
42.108,103.0,0.0,3.37178e-08,--,na
42.108,103.25,0.0,3.377e-08,--,na
42.108,103.5,0.0,3.41359e-08,--,na
42.108,103.75,0.0,3.435415e-08,--,na
42.108,104.0,0.0,3.39e-08,--,na
42.108,104.25,0.0,3.427755e-08,--,na
42.108,104.5,0.0,3.4280450000000004e-08,--,na
42.108,104.75,0.0,3.48902e-08,--,na
42.108,105.0,0.0,3.508395e-08,--,na
42.108,105.25,0.0,3.36209e-08,--,na
42.108,105.5,0.0,3.47657e-08,--,na
42.108,105.75,0.0,3.46697e-08,--,na
42.108,106.0,0.0,3.47817e-08,--,na
42.108,106.25,0.0,3.51057e-08,--,na
42.108,106.5,0.0,3.482375e-08,--,na
42.108,106.75,0.0,3.49776e-08,--,na
42.108,107.0,0.0,3.50113e-08,--,na
42.108,107.25,0.0,3.45764e-08,--,na
42.108,107.5,0.0,3.439225e-08,--,na
42.108,107.75,0.0,3.4996350000000004e-08,--,na
42.108,108.0,0.0,3.48102e-08,--,na
42.108,108.25,0.0,3.54012e-08,--,na
42.108,108.5,0.0,3.512895e-08,--,na
42.108,108.75,0.0,3.5186999999999996e-08,--,na
42.108,109.0,0.0,3.52832e-08,--,na
42.108,109.25,0.0,3.51574e-08,--,na
42.108,109.5,0.0,3.50585e-08,--,na
42.108,109.75,0.0,3.490085e-08,--,na
42.108,110.0,0.0,3.52767e-08,--,na
42.108,110.25,0.0,3.537545e-08,--,na
42.108,110.5,0.0,3.55547e-08,--,na
42.108,110.75,0.0,3.57469e-08,--,na
42.108,111.0,0.0,3.5471300000000003e-08,--,na
42.108,111.25,0.0,3.49272e-08,--,na
42.108,111.5,0.0,3.5738750000000006e-08,--,na
42.108,111.75,0.0,3.5645950000000004e-08,--,na
42.108,112.0,0.0,3.60361e-08,--,na
42.108,112.25,0.0,3.630935e-08,--,na
42.108,112.5,0.0,3.67345e-08,--,na
42.108,112.75,0.0,3.7040200000000004e-08,--,na
42.108,113.0,0.0,3.72464e-08,--,na
42.108,113.25,0.0,3.7431899999999995e-08,--,na
42.108,113.5,0.0,3.810055e-08,--,na
