ECM File Output,,,,,
Filename (includes date): 2025-09-11-15-28-dic-179.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 5 breaks,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 30.877867187499984,,,,,
Y Right: 100.06558203124995,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 195.3703125,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ],,,,,
X min Position (raw - not laser corrected): 205.5890625,,,,,
X max Position (raw - not laser corrected): 893.6640625,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
46.878,0.0,0.0,4.79837e-08,--,na
46.878,0.25,0.0,4.809545e-08,--,na
46.878,0.5,0.0,4.79267e-08,--,na
46.878,0.75,0.0,4.78587e-08,--,na
46.878,1.0,0.0,4.99578e-08,--,na
46.878,1.25,0.0,4.97749e-08,--,na
46.878,1.5,0.0,4.9499199999999996e-08,--,na
46.878,1.75,0.0,5.002685e-08,--,na
46.878,2.0,0.0,5.01948e-08,--,na
46.878,2.25,0.0,4.88967e-08,--,na
46.878,2.5,0.0,5.12748e-08,--,na
46.878,2.75,0.0,5.077615e-08,--,na
46.878,3.0,0.0,5.09203e-08,--,na
46.878,3.25,0.0,5.102695e-08,--,na
46.878,3.5,0.0,5.06197e-08,--,na
46.878,3.75,0.0,5.088745e-08,--,na
46.878,4.0,0.0,5.24318e-08,--,na
46.878,4.25,0.0,5.016395e-08,--,na
46.878,4.5,0.0,5.02712e-08,--,na
46.878,4.75,0.0,5.00576e-08,--,na
46.878,5.0,0.0,5.07876e-08,--,na
46.878,5.25,0.0,5.025785e-08,--,na
46.878,5.5,0.0,4.95299e-08,--,na
46.878,5.75,0.0,5.01468e-08,--,na
46.878,6.0,0.0,4.98683e-08,--,na
46.878,6.25,0.0,4.997305e-08,--,na
46.878,6.5,0.0,5.014175e-08,--,na
46.878,6.75,1.0,5.03725e-08,--,na
46.878,7.0,1.0,4.95343e-08,--,na
46.878,7.25,1.0,4.8564e-08,--,na
46.878,7.5,1.0,5.0536250000000004e-08,--,na
46.878,7.75,1.0,5.02261e-08,--,na
46.878,8.0,1.0,5.00058e-08,--,na
46.878,8.25,1.0,4.88635e-08,--,na
46.878,8.5,1.0,4.85315e-08,--,na
46.878,8.75,0.0,4.79336e-08,--,na
46.878,9.0,0.0,4.76434e-08,--,na
46.878,9.25,0.0,4.74129e-08,--,na
46.878,9.5,0.0,4.84706e-08,--,na
46.878,9.75,0.0,4.71157e-08,--,na
46.878,10.0,0.0,4.6892200000000005e-08,--,na
46.878,10.25,0.0,4.56504e-08,--,na
46.878,10.5,0.0,4.650935e-08,--,na
46.878,10.75,0.0,4.59164e-08,--,na
46.878,11.0,0.0,4.570435e-08,--,na
46.878,11.25,0.0,4.58612e-08,--,na
46.878,11.5,0.0,4.455265e-08,--,na
46.878,11.75,0.0,4.40894e-08,--,na
46.878,12.0,0.0,4.381355e-08,--,na
46.878,12.25,0.0,4.31931e-08,--,na
46.878,12.5,0.0,4.2161249999999996e-08,--,na
46.878,12.75,0.0,4.33025e-08,--,na
46.878,13.0,0.0,4.2224149999999996e-08,--,na
46.878,13.25,0.0,4.128685e-08,--,na
46.878,13.5,0.0,4.16351e-08,--,na
46.878,13.75,0.0,4.15759e-08,--,na
46.878,14.0,0.0,4.1462000000000004e-08,--,na
46.878,14.25,0.0,4.056015e-08,--,na
46.878,14.5,0.0,4.23223e-08,--,na
46.878,14.75,0.0,4.03544e-08,--,na
46.878,15.0,0.0,4.018585e-08,--,na
46.878,15.25,0.0,4.1074749999999995e-08,--,na
46.878,15.5,0.0,4.024705e-08,--,na
46.878,15.75,0.0,4.03567e-08,--,na
46.878,16.0,0.0,4.04517e-08,--,na
46.878,16.25,0.0,4.03603e-08,--,na
46.878,16.5,0.0,3.9692349999999995e-08,--,na
46.878,16.75,0.0,4.12222e-08,--,na
46.878,17.0,0.0,4.040335e-08,--,na
46.878,17.25,0.0,4.19158e-08,--,na
46.878,17.5,0.0,4.00779e-08,--,na
46.878,17.75,0.0,4.14985e-08,--,na
46.878,18.0,0.0,4.0817749999999995e-08,--,na
46.878,18.25,0.0,4.12267e-08,--,na
46.878,18.5,0.0,4.14079e-08,--,na
46.878,18.75,0.0,4.16692e-08,--,na
46.878,19.0,0.0,4.131535e-08,--,na
46.878,19.25,0.0,4.21132e-08,--,na
46.878,19.5,0.0,4.18934e-08,--,na
46.878,19.75,0.0,4.17164e-08,--,na
46.878,20.0,0.0,4.265055e-08,--,na
46.878,20.25,0.0,4.26389e-08,--,na
46.878,20.5,0.0,4.32253e-08,--,na
46.878,20.75,0.0,4.33207e-08,--,na
46.878,21.0,0.0,4.252715e-08,--,na
46.878,21.25,0.0,4.367015e-08,--,na
46.878,21.5,0.0,4.22237e-08,--,na
46.878,21.75,0.0,4.32127e-08,--,na
46.878,22.0,0.0,4.27651e-08,--,na
46.878,22.25,0.0,4.27069e-08,--,na
46.878,22.5,0.0,4.295875e-08,--,na
46.878,22.75,0.0,4.28612e-08,--,na
46.878,23.0,0.0,4.28427e-08,--,na
46.878,23.25,0.0,4.2498e-08,--,na
46.878,23.5,0.0,4.27699e-08,--,na
46.878,23.75,0.0,4.29856e-08,--,na
46.878,24.0,0.0,4.3003000000000005e-08,--,na
46.878,24.25,0.0,4.24059e-08,--,na
46.878,24.5,0.0,4.2242249999999996e-08,--,na
46.878,24.75,0.0,4.43739e-08,--,na
46.878,25.0,0.0,4.26989e-08,--,na
46.878,25.25,0.0,4.293815e-08,--,na
46.878,25.5,0.0,4.34429e-08,--,na
