ECM File Output,,,,,
Filename (includes date): 2025-09-08-15-31-den13a-175.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: redo for x axis, 6 breaks!!!!!,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 5,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 34.887792968749984,,,,,
Y Right: 102.02862499999995,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 19.3265625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 19.3265625,,,,,
X max Position (raw - not laser corrected): 922.0812500000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
50.888,27.75,0.0,8.4608e-09,--,na
50.888,28.0,0.0,9.302160000000001e-09,--,na
50.888,28.25,0.0,9.13024e-09,--,na
50.888,28.5,0.0,9.888505e-09,--,na
50.888,28.75,0.0,9.976965e-09,--,na
50.888,29.0,0.0,8.54517e-09,--,na
50.888,29.25,0.0,8.83001e-09,--,na
50.888,29.5,0.0,8.11989e-09,--,na
50.888,29.75,0.0,8.339140000000001e-09,--,na
50.888,30.0,0.0,8.98415e-09,--,na
50.888,30.25,0.0,7.270754999999999e-09,--,na
50.888,30.5,0.0,7.0036e-09,--,na
50.888,30.75,0.0,6.89802e-09,--,na
50.888,31.0,0.0,5.62823e-09,--,na
50.888,31.25,0.0,7.87205e-09,--,na
50.888,31.5,0.0,6.11834e-09,--,na
50.888,31.75,0.0,5.6898999999999996e-09,--,na
50.888,32.0,0.0,5.73471e-09,--,na
50.888,32.25,0.0,5.5112800000000004e-09,--,na
50.888,32.5,0.0,5.94874e-09,--,na
50.888,32.75,0.0,5.341005e-09,--,na
50.888,33.0,0.0,6.685675e-09,--,na
