ECM File Output,,,,,
Filename (includes date): 2025-09-12-09-33-dic-190.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: no breaks,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 35.38140624999998,,,,,
Y Right: 103.42264843749994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 321.175,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 329.64375,,,,,
X max Position (raw - not laser corrected): 462.16093750000005,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
51.381,27.75,0.0,5.298575e-08,--,na
51.381,28.0,0.0,5.2359450000000004e-08,--,na
51.381,28.25,0.0,5.22118e-08,--,na
51.381,28.5,0.0,5.152575e-08,--,na
51.381,28.75,0.0,5.08022e-08,--,na
51.381,29.0,0.0,5.0481749999999995e-08,--,na
51.381,29.25,0.0,5.008525e-08,--,na
51.381,29.5,0.0,4.95851e-08,--,na
51.381,29.75,0.0,4.9254450000000003e-08,--,na
51.381,30.0,0.0,4.90005e-08,--,na
51.381,30.25,0.0,4.83165e-08,--,na
51.381,30.5,0.0,4.9302800000000004e-08,--,na
51.381,30.75,0.0,4.67991e-08,--,na
51.381,31.0,0.0,4.7084100000000005e-08,--,na
51.381,31.25,0.0,4.712865e-08,--,na
51.381,31.5,0.0,4.62285e-08,--,na
51.381,31.75,0.0,4.604265e-08,--,na
51.381,32.0,0.0,4.542905e-08,--,na
51.381,32.25,0.0,4.50726e-08,--,na
51.381,32.5,0.0,4.40787e-08,--,na
51.381,32.75,0.0,4.486055e-08,--,na
51.381,33.0,0.0,4.4946e-08,--,na
51.381,33.25,0.0,4.308355e-08,--,na
51.381,33.5,0.0,4.39411e-08,--,na
51.381,33.75,0.0,4.435115e-08,--,na
51.381,34.0,0.0,4.332175e-08,--,na
51.381,34.25,0.0,4.1683650000000005e-08,--,na
51.381,34.5,0.0,4.21932e-08,--,na
51.381,34.75,0.0,4.50945e-08,--,na
51.381,35.0,0.0,4.5240450000000005e-08,--,na
51.381,35.25,0.0,4.13651e-08,--,na
51.381,35.5,0.0,4.580235e-08,--,na
51.381,35.75,0.0,4.48089e-08,--,na
51.381,36.0,0.0,4.4006850000000003e-08,--,na
51.381,36.25,0.0,4.368655e-08,--,na
51.381,36.5,0.0,4.40685e-08,--,na
51.381,36.75,0.0,4.60169e-08,--,na
51.381,37.0,0.0,4.391245e-08,--,na
51.381,37.25,0.0,4.6033600000000005e-08,--,na
51.381,37.5,0.0,4.49107e-08,--,na
51.381,37.75,0.0,4.5367549999999995e-08,--,na
51.381,38.0,0.0,4.5741199999999997e-08,--,na
51.381,38.25,0.0,4.4793400000000005e-08,--,na
51.381,38.5,0.0,4.57622e-08,--,na
51.381,38.75,0.0,4.332085e-08,--,na
51.381,39.0,0.0,4.69464e-08,--,na
51.381,39.25,0.0,4.53272e-08,--,na
51.381,39.5,0.0,4.72032e-08,--,na
51.381,39.75,0.0,4.8277500000000003e-08,--,na
51.381,40.0,0.0,4.6203200000000004e-08,--,na
51.381,40.25,0.0,4.6628199999999997e-08,--,na
51.381,40.5,0.0,4.69339e-08,--,na
51.381,40.75,0.0,4.736865e-08,--,na
51.381,41.0,0.0,4.7548699999999995e-08,--,na
51.381,41.25,0.0,4.7886e-08,--,na
51.381,41.5,0.0,4.69573e-08,--,na
51.381,41.75,0.0,4.67794e-08,--,na
51.381,42.0,0.0,4.8555249999999994e-08,--,na
51.381,42.25,0.0,4.83667e-08,--,na
51.381,42.5,0.0,4.89026e-08,--,na
51.381,42.75,0.0,4.899915e-08,--,na
51.381,43.0,0.0,4.983525e-08,--,na
51.381,43.25,0.0,4.94557e-08,--,na
51.381,43.5,0.0,4.88454e-08,--,na
51.381,43.75,0.0,5.063415e-08,--,na
51.381,44.0,0.0,4.94292e-08,--,na
51.381,44.25,0.0,4.8924e-08,--,na
51.381,44.5,0.0,4.86292e-08,--,na
51.381,44.75,0.0,4.9648499999999996e-08,--,na
51.381,45.0,0.0,5.039695e-08,--,na
51.381,45.25,0.0,4.87414e-08,--,na
51.381,45.5,0.0,4.9464950000000004e-08,--,na
51.381,45.75,0.0,4.79621e-08,--,na
51.381,46.0,0.0,4.850135e-08,--,na
51.381,46.25,0.0,4.91984e-08,--,na
51.381,46.5,0.0,4.933365e-08,--,na
51.381,46.75,0.0,4.8785349999999996e-08,--,na
51.381,47.0,0.0,5.02039e-08,--,na
51.381,47.25,0.0,5.06398e-08,--,na
51.381,47.5,0.0,5.0031200000000004e-08,--,na
51.381,47.75,0.0,4.880865e-08,--,na
51.381,48.0,0.0,4.9073500000000006e-08,--,na
51.381,48.25,0.0,4.96172e-08,--,na
51.381,48.5,0.0,4.965705e-08,--,na
51.381,48.75,0.0,4.891985e-08,--,na
51.381,49.0,0.0,4.855485e-08,--,na
51.381,49.25,0.0,4.95699e-08,--,na
51.381,49.5,0.0,4.87442e-08,--,na
51.381,49.75,0.0,4.93019e-08,--,na
51.381,50.0,0.0,4.94043e-08,--,na
51.381,50.25,0.0,4.88288e-08,--,na
51.381,50.5,0.0,4.917505e-08,--,na
51.381,50.75,0.0,4.9407e-08,--,na
51.381,51.0,0.0,4.97631e-08,--,na
51.381,51.25,0.0,5.01418e-08,--,na
51.381,51.5,0.0,4.94609e-08,--,na
51.381,51.75,0.0,4.948325e-08,--,na
