ECM File Output,,,,,
Filename (includes date): 2025-09-08-11-34-dic13-169.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 1break!crater on bottom piece,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 36.51001953124998,,,,,
Y Right: 107.49061718749994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 245.7578125,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 260.2796875,,,,,
X max Position (raw - not laser corrected): 922.0187500000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
52.51,0.0,0.0,4.0477799999999996e-08,--,na
52.51,0.25,0.0,4.230105e-08,--,na
52.51,0.5,0.0,3.97466e-08,--,na
52.51,0.75,0.0,4.02916e-08,--,na
52.51,1.0,0.0,3.897095e-08,--,na
52.51,1.25,0.0,4.13876e-08,--,na
52.51,1.5,0.0,4.13155e-08,--,na
52.51,1.75,0.0,4.276015e-08,--,na
52.51,2.0,0.0,4.43289e-08,--,na
52.51,2.25,0.0,4.4228099999999996e-08,--,na
52.51,2.5,0.0,4.35867e-08,--,na
52.51,2.75,0.0,4.24308e-08,--,na
52.51,3.0,0.0,4.644275e-08,--,na
52.51,3.25,0.0,4.8299399999999996e-08,--,na
52.51,3.5,0.0,5.089235e-08,--,na
52.51,3.75,0.0,4.97158e-08,--,na
52.51,4.0,0.0,5.08509e-08,--,na
52.51,4.25,0.0,4.9426499999999996e-08,--,na
52.51,4.5,0.0,5.013375e-08,--,na
52.51,4.75,0.0,5.26169e-08,--,na
52.51,5.0,0.0,5.03116e-08,--,na
52.51,5.25,0.0,4.8960900000000005e-08,--,na
52.51,5.5,0.0,4.86191e-08,--,na
52.51,5.75,0.0,5.193055e-08,--,na
52.51,6.0,0.0,4.97929e-08,--,na
52.51,6.25,0.0,5.10853e-08,--,na
52.51,6.5,0.0,5.04436e-08,--,na
52.51,6.75,0.0,5.15856e-08,--,na
52.51,7.0,0.0,4.937535e-08,--,na
52.51,7.25,0.0,5.096305e-08,--,na
52.51,7.5,0.0,5.24417e-08,--,na
52.51,7.75,0.0,5.07458e-08,--,na
52.51,8.0,0.0,4.9620150000000005e-08,--,na
52.51,8.25,0.0,4.911125e-08,--,na
52.51,8.5,0.0,5.26422e-08,--,na
52.51,8.75,0.0,4.9707750000000004e-08,--,na
52.51,9.0,0.0,5.17512e-08,--,na
52.51,9.25,0.0,4.8418099999999996e-08,--,na
52.51,9.5,0.0,5.0422549999999996e-08,--,na
52.51,9.75,0.0,4.93533e-08,--,na
52.51,10.0,0.0,5.07725e-08,--,na
52.51,10.25,0.0,5.0225249999999995e-08,--,na
52.51,10.5,0.0,4.86329e-08,--,na
52.51,10.75,0.0,4.635585e-08,--,na
52.51,11.0,0.0,4.6959e-08,--,na
52.51,11.25,0.0,4.7303349999999996e-08,--,na
52.51,11.5,0.0,4.21022e-08,--,na
52.51,11.75,0.0,4.69377e-08,--,na
52.51,12.0,0.0,4.66128e-08,--,na
52.51,12.25,0.0,4.12536e-08,--,na
52.51,12.5,0.0,4.46501e-08,--,na
52.51,12.75,0.0,4.42203e-08,--,na
52.51,13.0,0.0,4.40428e-08,--,na
52.51,13.25,0.0,4.50581e-08,--,na
52.51,13.5,0.0,4.127695e-08,--,na
52.51,13.75,0.0,4.45629e-08,--,na
52.51,14.0,0.0,4.15658e-08,--,na
52.51,14.25,0.0,4.172415e-08,--,na
52.51,14.5,0.0,4.5887299999999996e-08,--,na
52.51,14.75,0.0,3.98717e-08,--,na
52.51,15.0,0.0,4.389665e-08,--,na
52.51,15.25,0.0,4.25353e-08,--,na
52.51,15.5,0.0,4.06429e-08,--,na
52.51,15.75,0.0,4.602035e-08,--,na
52.51,16.0,0.0,4.0683e-08,--,na
52.51,16.25,0.0,4.238795e-08,--,na
