ECM File Output,,,,,
Filename (includes date): 2025-09-08-08-32-dic13-174.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 3breaks,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 34.162007812499986,,,,,
Y Right: 105.23587109374995,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 77.415625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 84.415625,,,,,
X max Position (raw - not laser corrected): 959.4125,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
46.162,0.0,0.0,--,2.703375e-05,na
46.162,0.0,0.0,--,2.757588e-07,na
46.162,0.04159313332637,0.0,--,1.167864e-06,na
46.162,0.20148298689333502,0.0,--,1.736582e-06,na
46.162,0.39170313520727823,0.0,--,2.147382e-06,na
46.162,0.61589921993387,0.0,--,2.455956e-06,na
46.162,0.8746618306562194,0.0,--,2.657936e-06,na
46.162,1.1628452225203627,0.0,--,2.607179e-06,na
46.162,1.526336850717301,0.0,--,2.596615e-06,na
46.162,1.885481454018032,0.0,--,3.074878e-06,na
46.162,2.323603119732309,0.0,--,3.452544e-06,na
46.162,2.727134197786639,0.0,--,3.058711e-06,na
46.162,3.1478212894457833,0.0,--,2.653585e-06,na
46.162,3.564494707872182,0.0,--,3.171925e-06,na
46.162,4.00107532485797,0.0,--,3.439476e-06,na
46.162,4.401776852306172,0.0,--,3.695197e-06,na
46.162,4.8390663294464655,0.0,--,3.525623e-06,na
46.162,5.240231609383085,0.0,--,3.810186e-06,na
46.162,5.6504851070048,0.0,--,3.995447e-06,na
46.162,6.073336175736792,0.0,--,3.673471e-06,na
46.162,6.508800856769581,0.0,--,3.558409e-06,na
46.162,6.909074498309441,0.0,--,3.867375e-06,na
46.162,7.315351355192685,0.0,--,3.963258e-06,na
46.162,7.740464284711975,0.0,--,3.625581e-06,na
46.162,8.16002300481341,0.0,--,4.010551e-06,na
46.162,8.56675508082371,0.0,--,3.826906e-06,na
46.162,8.977669842391895,0.0,--,3.767826e-06,na
46.162,9.406248734186471,0.0,--,3.971407e-06,na
46.162,9.806146623055824,0.0,--,4.030924e-06,na
46.162,10.245963788752135,0.0,--,4.302623e-06,na
46.162,10.658781640266952,0.0,--,4.112633e-06,na
46.162,11.073234445655862,0.0,--,4.367554e-06,na
46.162,11.486286141725726,0.0,--,4.346424e-06,na
46.162,11.925251811850039,0.0,--,4.668036e-06,na
46.162,12.325022934125451,0.0,--,4.693065e-06,na
46.162,12.759072425363659,0.0,--,4.517584e-06,na
46.162,13.174792971824186,0.0,--,5.125723e-06,na
46.162,13.59453246552207,0.0,--,4.56431e-06,na
46.162,14.023124661720868,0.0,--,4.853195e-06,na
46.162,14.42441113667087,0.0,--,4.588845e-06,na
46.162,14.861727980517506,0.0,--,4.842048e-06,na
46.162,15.26058722590618,0.0,--,4.8691e-06,na
46.162,15.668689834728006,0.0,--,4.828267e-06,na
46.162,16.11527852515537,0.0,--,4.904708e-06,na
46.162,16.527134336280028,0.0,--,5.128779e-06,na
46.162,16.92880599610658,0.0,--,5.219321e-06,na
46.162,17.335140466971918,0.0,--,4.82265e-06,na
46.162,17.7576810987348,0.0,--,5.217342e-06,na
46.162,18.1703074831263,0.0,--,5.332113e-06,na
46.162,18.604510681144394,0.0,--,5.196474e-06,na
46.162,19.029691561532015,0.0,--,4.908958e-06,na
46.162,19.437070502000747,0.0,--,4.829679e-06,na
46.162,19.84417679443514,0.0,--,5.122711e-06,na
46.162,20.26427904884902,0.0,--,4.609756e-06,na
46.162,20.67600050639638,0.0,--,4.986476e-06,na
46.162,21.12358775758202,0.0,--,4.80868e-06,na
46.162,21.536019170023895,0.0,--,4.722533e-06,na
46.162,21.970409985917605,0.0,--,4.869187e-06,na
46.162,22.374158450209702,0.0,--,4.85011e-06,na
46.162,22.77362656886706,0.0,--,5.193127e-06,na
46.162,23.211632356069703,0.0,--,4.693225e-06,na
46.162,23.628785561008687,0.0,--,5.067952e-06,na
46.162,24.04516277102021,0.0,--,4.727917e-06,na
46.162,24.48343436340722,0.0,--,5.075388e-06,na
46.162,24.882888374309225,0.0,--,4.908012e-06,na
46.162,25.314019568920322,0.0,--,4.83371e-06,na
46.162,25.718034255938694,0.0,--,4.733956e-06,na
46.162,26.124431870752993,0.0,--,4.550835e-06,na
46.162,26.543640339047712,0.0,--,4.891699e-06,na
46.162,26.979720663602627,0.0,--,4.631162e-06,na
46.162,27.38267822515479,0.0,--,5.16155e-06,na
46.162,27.7858408018971,0.0,--,4.836664e-06,na
46.162,28.22001704714124,0.0,--,5.108974e-06,na
46.162,28.620168721506083,0.0,--,5.206297e-06,na
46.162,29.05811996762286,0.0,--,4.956004e-06,na
46.162,29.45422995405327,0.0,--,5.220383e-06,na
46.162,29.872196598150484,0.0,--,4.634101e-06,na
46.162,30.290971434357132,0.0,--,5.138994e-06,na
46.162,30.692690119617875,0.0,--,5.403781e-06,na
46.162,31.132180128556328,0.0,--,5.128837e-06,na
46.162,31.577353142633573,0.0,--,5.262817e-06,na
46.162,32.009918556374515,0.0,--,5.072652e-06,na
46.162,32.395651196598465,0.0,--,5.200185e-06,na
46.162,32.82484140729741,0.0,--,4.977905e-06,na
46.162,33.21907675947181,0.0,--,5.285154e-06,na
46.162,33.65234581072008,0.0,--,5.203896e-06,na
46.162,34.083275182057214,0.0,--,5.214446e-06,na
46.162,34.480804076355945,0.0,--,5.306458e-06,na
46.162,34.90536403345943,0.0,--,5.285285e-06,na
46.162,35.33593510689655,0.0,--,5.708411e-06,na
46.162,35.72578083048651,0.0,--,5.237511e-06,na
46.162,36.16104707561659,0.0,--,5.393042e-06,na
46.162,36.558921499184635,0.0,--,5.164693e-06,na
46.162,36.99780627120085,0.0,--,5.228547e-06,na
46.162,37.4330255564629,0.0,--,4.682137e-06,na
46.162,37.82593661792357,0.0,--,5.027818e-06,na
46.162,38.2281643828251,0.0,--,5.01379e-06,na
46.162,38.66704219431439,0.0,--,4.532936e-06,na
46.162,39.08092426687683,0.0,--,4.814457e-06,na
46.162,39.50516126477152,0.0,--,4.576621e-06,na
46.162,39.90562040007215,0.0,--,4.717891e-06,na
46.162,40.313295745244716,0.0,--,4.347341e-06,na
46.162,40.73624316324741,0.0,--,4.342655e-06,na
46.162,41.17684205558584,0.0,--,4.363639e-06,na
46.162,41.57602304401144,0.0,--,4.158937e-06,na
46.162,42.01648120079541,0.0,--,4.315312e-06,na
46.162,42.44510910322787,0.0,--,4.12295e-06,na
46.162,42.850770425606626,0.0,--,4.355912e-06,na
46.162,43.2521309701372,0.0,--,4.122398e-06,na
46.162,43.677581723291844,0.0,--,4.443209e-06,na
46.162,44.121945183347115,0.0,--,4.258705e-06,na
46.162,44.52879616480223,0.0,--,4.078494e-06,na
46.162,44.9599994436585,0.0,--,4.013549e-06,na
46.162,45.36850058424925,0.0,--,3.8976e-06,na
46.162,45.777196518614154,0.0,--,4.013738e-06,na
46.162,46.182171527553,0.0,--,3.977068e-06,na
46.162,46.6068842746676,0.0,--,4.29769e-06,na
46.162,47.04203783527285,0.0,--,4.414513e-06,na
46.162,47.45154735192376,0.0,--,4.604968e-06,na
46.162,47.85706121248506,0.0,--,4.311907e-06,na
