ECM File Output,,,,,
Filename (includes date): 2025-09-12-10-35-dic-188a.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: no breaks,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 7,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 31.51584374999998,,,,,
Y Right: 104.75813281249995,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 324.54843750000003,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 341.69687500000003,,,,,
X max Position (raw - not laser corrected): 809.5125,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
43.516,0.0,0.0,--,2.794561e-05,na
43.516,0.0,0.0,--,1.096691e-06,na
43.516,0.11365922115909863,0.0,--,2.038403e-06,na
43.516,0.2450549304262654,0.0,--,2.619985e-06,na
43.516,0.42709169181779594,0.0,--,3.054942e-06,na
43.516,0.6481065101208581,0.0,--,3.38041e-06,na
43.516,0.8949883571386731,0.0,--,3.545836e-06,na
43.516,1.190529856280921,0.0,--,2.981571e-06,na
43.516,1.5315366073719294,0.0,--,3.078458e-06,na
43.516,1.940335668911331,0.0,--,4.144633e-06,na
43.516,2.3535108932941857,0.0,--,4.140151e-06,na
43.516,2.767168338852575,0.0,--,4.029498e-06,na
43.516,3.170084365464222,0.0,--,4.205125e-06,na
43.516,3.6055921665497075,0.0,--,5.193855e-06,na
43.516,4.001741502571415,0.0,--,4.947738e-06,na
43.516,4.421545335979749,0.0,--,4.34526e-06,na
43.516,4.854834791967062,0.0,--,4.973423e-06,na
43.516,5.265271751295514,0.0,--,5.444832e-06,na
43.516,5.667495912837109,0.0,--,4.782967e-06,na
43.516,6.103737852327228,0.0,--,4.331669e-06,na
43.516,6.501446890171576,0.0,--,5.509733e-06,na
43.516,6.91563040095792,0.0,--,5.527894e-06,na
43.516,7.340863297424119,0.0,--,4.783491e-06,na
43.516,7.775773820264317,0.0,--,4.868751e-06,na
43.516,8.177720379365907,0.0,--,5.232607e-06,na
43.516,8.597135086905935,0.0,--,4.19977e-06,na
