ECM File Output,,,,,
Filename (includes date): 2025-09-08-14-24-dic13a-177.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: redo for x axis alignment, 3 breaks,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 37.366277343749985,,,,,
Y Right: 113.18230078124994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 29.103125000000002,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 36.30625,,,,,
X max Position (raw - not laser corrected): 898.6828125000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
53.366,27.5,0.0,3.62153e-08,--,na
53.366,27.75,0.0,3.52348e-08,--,na
53.366,28.0,0.0,3.57257e-08,--,na
53.366,28.25,0.0,3.613295e-08,--,na
53.366,28.5,0.0,3.46495e-08,--,na
53.366,28.75,0.0,3.61694e-08,--,na
53.366,29.0,0.0,3.17099e-08,--,na
53.366,29.25,0.0,3.77191e-08,--,na
53.366,29.5,0.0,3.63462e-08,--,na
53.366,29.75,0.0,3.63915e-08,--,na
53.366,30.0,0.0,3.460945e-08,--,na
53.366,30.25,0.0,3.51864e-08,--,na
53.366,30.5,0.0,3.454175e-08,--,na
53.366,30.75,0.0,3.39968e-08,--,na
53.366,31.0,0.0,3.3657900000000004e-08,--,na
53.366,31.25,0.0,3.381405e-08,--,na
53.366,31.5,0.0,3.34126e-08,--,na
53.366,31.75,0.0,3.33305e-08,--,na
53.366,32.0,0.0,3.346875e-08,--,na
53.366,32.25,0.0,3.06564e-08,--,na
53.366,32.5,0.0,3.39228e-08,--,na
53.366,32.75,0.0,3.27664e-08,--,na
53.366,33.0,0.0,3.24748e-08,--,na
53.366,33.25,0.0,3.242535e-08,--,na
53.366,33.5,0.0,3.25265e-08,--,na
53.366,33.75,0.0,3.05044e-08,--,na
53.366,34.0,0.0,3.2389899999999995e-08,--,na
53.366,34.25,0.0,3.2026250000000005e-08,--,na
53.366,34.5,0.0,3.2015e-08,--,na
53.366,34.75,0.0,3.092355e-08,--,na
53.366,35.0,0.0,2.666565e-08,--,na
53.366,35.25,0.0,3.00651e-08,--,na
53.366,35.5,0.0,3.03526e-08,--,na
53.366,35.75,0.0,3.1007050000000004e-08,--,na
53.366,36.0,0.0,3.0906549999999996e-08,--,na
53.366,36.25,0.0,3.20364e-08,--,na
53.366,36.5,0.0,3.08062e-08,--,na
53.366,36.75,0.0,3.08114e-08,--,na
53.366,37.0,0.0,2.999245e-08,--,na
53.366,37.25,0.0,3.05673e-08,--,na
53.366,37.5,0.0,3.03692e-08,--,na
53.366,37.75,0.0,2.97256e-08,--,na
53.366,38.0,0.0,2.95675e-08,--,na
53.366,38.25,0.0,3.08089e-08,--,na
53.366,38.5,0.0,2.9567999999999997e-08,--,na
53.366,38.75,0.0,3.06219e-08,--,na
53.366,39.0,0.0,2.922365e-08,--,na
53.366,39.25,0.0,2.93958e-08,--,na
53.366,39.5,0.0,2.9252149999999998e-08,--,na
53.366,39.75,0.0,2.70854e-08,--,na
53.366,40.0,0.0,2.9714700000000002e-08,--,na
53.366,40.25,0.0,2.98158e-08,--,na
53.366,40.5,0.0,2.959915e-08,--,na
53.366,40.75,0.0,2.99358e-08,--,na
53.366,41.0,0.0,2.9291150000000002e-08,--,na
53.366,41.25,0.0,2.82097e-08,--,na
53.366,41.5,0.0,2.8820250000000003e-08,--,na
53.366,41.75,0.0,2.59331e-08,--,na
53.366,42.0,0.0,2.82516e-08,--,na
53.366,42.25,0.0,2.72027e-08,--,na
53.366,42.5,0.0,2.849555e-08,--,na
53.366,42.75,0.0,2.80527e-08,--,na
53.366,43.0,0.0,2.87698e-08,--,na
53.366,43.25,0.0,2.80681e-08,--,na
53.366,43.5,0.0,2.840125e-08,--,na
53.366,43.75,0.0,2.83507e-08,--,na
53.366,44.0,0.0,2.90436e-08,--,na
53.366,44.25,0.0,2.91187e-08,--,na
53.366,44.5,0.0,2.86951e-08,--,na
