ECM File Output,,,,,
Filename (includes date): 2025-09-08-08-19-dic13-174.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 3breaks, top 3cm broke off prescan,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 34.162007812499986,,,,,
Y Right: 105.23587109374995,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 77.415625,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 84.415625,,,,,
X max Position (raw - not laser corrected): 959.4125,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
50.162,27.75,0.0,4.9015e-08,--,na
50.162,28.0,0.0,4.68804e-08,--,na
50.162,28.25,0.0,4.67887e-08,--,na
50.162,28.5,0.0,4.67475e-08,--,na
50.162,28.75,0.0,4.69257e-08,--,na
50.162,29.0,0.0,4.663695e-08,--,na
50.162,29.25,0.0,4.6737949999999995e-08,--,na
50.162,29.5,0.0,4.6590050000000005e-08,--,na
50.162,29.75,0.0,4.68735e-08,--,na
50.162,30.0,0.0,4.74275e-08,--,na
50.162,30.25,0.0,4.74927e-08,--,na
50.162,30.5,0.0,4.6583e-08,--,na
50.162,30.75,0.0,4.717715e-08,--,na
50.162,31.0,0.0,4.76564e-08,--,na
50.162,31.25,0.0,4.72605e-08,--,na
50.162,31.5,0.0,4.83962e-08,--,na
50.162,31.75,0.0,4.73519e-08,--,na
50.162,32.0,0.0,4.785625e-08,--,na
50.162,32.25,0.0,4.825175e-08,--,na
50.162,32.5,0.0,4.852645e-08,--,na
50.162,32.75,0.0,4.79708e-08,--,na
50.162,33.0,0.0,4.860965e-08,--,na
50.162,33.25,0.0,4.6963200000000006e-08,--,na
50.162,33.5,0.0,4.88366e-08,--,na
50.162,33.75,0.0,4.84605e-08,--,na
50.162,34.0,0.0,4.90154e-08,--,na
50.162,34.25,0.0,4.7916000000000004e-08,--,na
50.162,34.5,0.0,4.84258e-08,--,na
50.162,34.75,0.0,4.792875e-08,--,na
50.162,35.0,0.0,4.82948e-08,--,na
50.162,35.25,0.0,4.81149e-08,--,na
