ECM File Output,,,,,
Filename (includes date): 2025-09-08-12-00-dic1-168.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 1piece, left out bad top 22cm and bottom 26.5cm pre scan,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 32.43014453124998,,,,,
Y Right: 103.57991015624994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 254.05937500000002,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 254.05937500000002,,,,,
X max Position (raw - not laser corrected): 730.3453125000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
60.43,79.0,0.0,4.1488200000000005e-08,--,na
60.43,79.25,0.0,4.02731e-08,--,na
60.43,79.5,0.0,4.11526e-08,--,na
60.43,79.75,0.0,4.0767199999999995e-08,--,na
60.43,80.0,0.0,3.966785e-08,--,na
60.43,80.25,0.0,4.05946e-08,--,na
60.43,80.5,0.0,4.01524e-08,--,na
60.43,80.75,0.0,4.037965e-08,--,na
60.43,81.0,0.0,4.04369e-08,--,na
60.43,81.25,0.0,4.020855e-08,--,na
60.43,81.5,0.0,4.08385e-08,--,na
60.43,81.75,0.0,4.0310149999999997e-08,--,na
60.43,82.0,0.0,4.04193e-08,--,na
60.43,82.25,0.0,4.080195e-08,--,na
60.43,82.5,0.0,4.03684e-08,--,na
60.43,82.75,0.0,4.08833e-08,--,na
60.43,83.0,0.0,4.01751e-08,--,na
60.43,83.25,0.0,4.037185e-08,--,na
60.43,83.5,0.0,4.00556e-08,--,na
60.43,83.75,0.0,4.0085350000000004e-08,--,na
60.43,84.0,0.0,4.1158799999999994e-08,--,na
60.43,84.25,0.0,4.0771249999999995e-08,--,na
60.43,84.5,0.0,4.08158e-08,--,na
60.43,84.75,0.0,4.0836499999999996e-08,--,na
60.43,85.0,0.0,4.06833e-08,--,na
60.43,85.25,0.0,4.143515e-08,--,na
60.43,85.5,0.0,4.06115e-08,--,na
60.43,85.75,0.0,4.10993e-08,--,na
60.43,86.0,0.0,4.02275e-08,--,na
60.43,86.25,0.0,4.1584849999999997e-08,--,na
60.43,86.5,0.0,4.20508e-08,--,na
60.43,86.75,0.0,4.139465e-08,--,na
60.43,87.0,0.0,4.2525e-08,--,na
60.43,87.25,0.0,4.21715e-08,--,na
60.43,87.5,0.0,3.87158e-08,--,na
60.43,87.75,0.0,4.28985e-08,--,na
60.43,88.0,0.0,4.15622e-08,--,na
60.43,88.25,0.0,4.27331e-08,--,na
60.43,88.5,0.0,4.11702e-08,--,na
60.43,88.75,0.0,4.31375e-08,--,na
60.43,89.0,0.0,4.29926e-08,--,na
60.43,89.25,0.0,4.284355e-08,--,na
60.43,89.5,0.0,4.32169e-08,--,na
60.43,89.75,0.0,4.35326e-08,--,na
60.43,90.0,0.0,4.31095e-08,--,na
60.43,90.25,0.0,4.23341e-08,--,na
60.43,90.5,0.0,4.33811e-08,--,na
60.43,90.75,0.0,4.317595e-08,--,na
60.43,91.0,0.0,4.33536e-08,--,na
60.43,91.25,0.0,4.2533399999999996e-08,--,na
60.43,91.5,0.0,4.36661e-08,--,na
60.43,91.75,0.0,4.4177399999999994e-08,--,na
60.43,92.0,0.0,4.31036e-08,--,na
60.43,92.25,0.0,4.45558e-08,--,na
60.43,92.5,0.0,4.3343850000000006e-08,--,na
60.43,92.75,0.0,4.18741e-08,--,na
60.43,93.0,0.0,4.309795e-08,--,na
60.43,93.25,0.0,4.26616e-08,--,na
60.43,93.5,0.0,4.46538e-08,--,na
60.43,93.75,0.0,4.29695e-08,--,na
60.43,94.0,0.0,4.25964e-08,--,na
60.43,94.25,0.0,4.20622e-08,--,na
60.43,94.5,0.0,4.2343699999999996e-08,--,na
60.43,94.75,0.0,4.204265e-08,--,na
60.43,95.0,0.0,4.15013e-08,--,na
60.43,95.25,0.0,3.9758850000000004e-08,--,na
60.43,95.5,0.0,4.0914e-08,--,na
60.43,95.75,0.0,4.0610000000000004e-08,--,na
60.43,96.0,0.0,3.991515e-08,--,na
60.43,96.25,0.0,4.02721e-08,--,na
60.43,96.5,0.0,4.0142e-08,--,na
60.43,96.75,0.0,3.979155e-08,--,na
60.43,97.0,0.0,3.95594e-08,--,na
60.43,97.25,0.0,3.9034e-08,--,na
60.43,97.5,0.0,4.0510349999999996e-08,--,na
60.43,97.75,0.0,3.88249e-08,--,na
60.43,98.0,0.0,3.866495e-08,--,na
60.43,98.25,0.0,3.76165e-08,--,na
60.43,98.5,0.0,3.78135e-08,--,na
60.43,98.75,0.0,3.91623e-08,--,na
60.43,99.0,0.0,3.7925000000000004e-08,--,na
60.43,99.25,0.0,3.71014e-08,--,na
60.43,99.5,0.0,3.72903e-08,--,na
60.43,99.75,0.0,3.738875e-08,--,na
60.43,100.0,0.0,3.730285e-08,--,na
60.43,100.25,0.0,3.69264e-08,--,na
60.43,100.5,0.0,3.635275e-08,--,na
60.43,100.75,0.0,3.61433e-08,--,na
60.43,101.0,0.0,3.639215e-08,--,na
60.43,101.25,0.0,3.60211e-08,--,na
60.43,101.5,0.0,3.614615e-08,--,na
60.43,101.75,0.0,3.56071e-08,--,na
60.43,102.0,0.0,3.54662e-08,--,na
60.43,102.25,0.0,3.61187e-08,--,na
60.43,102.5,0.0,3.53904e-08,--,na
60.43,102.75,0.0,3.549865e-08,--,na
60.43,103.0,0.0,3.52551e-08,--,na
60.43,103.25,0.0,3.52452e-08,--,na
60.43,103.5,0.0,3.695505e-08,--,na
60.43,103.75,0.0,3.4730700000000005e-08,--,na
60.43,104.0,0.0,3.502165e-08,--,na
60.43,104.25,0.0,3.47369e-08,--,na
60.43,104.5,0.0,3.4707149999999996e-08,--,na
60.43,104.75,0.0,3.67294e-08,--,na
60.43,105.0,0.0,3.479905e-08,--,na
60.43,105.25,0.0,3.4532649999999997e-08,--,na
60.43,105.5,0.0,3.42503e-08,--,na
60.43,105.75,0.0,3.457285e-08,--,na
60.43,106.0,0.0,3.3519750000000005e-08,--,na
60.43,106.25,0.0,3.58731e-08,--,na
60.43,106.5,0.0,3.4120150000000005e-08,--,na
60.43,106.75,0.0,3.39519e-08,--,na
60.43,107.0,0.0,3.44446e-08,--,na
60.43,107.25,0.0,3.3841000000000005e-08,--,na
60.43,107.5,0.0,3.43695e-08,--,na
60.43,107.75,0.0,3.35592e-08,--,na
60.43,108.0,0.0,3.3734150000000004e-08,--,na
60.43,108.25,0.0,3.29042e-08,--,na
60.43,108.5,0.0,3.39723e-08,--,na
60.43,108.75,0.0,3.460755e-08,--,na
60.43,109.0,0.0,3.43659e-08,--,na
60.43,109.25,0.0,3.3717250000000004e-08,--,na
60.43,109.5,0.0,3.485405e-08,--,na
60.43,109.75,0.0,3.44315e-08,--,na
60.43,110.0,0.0,3.5159949999999996e-08,--,na
60.43,110.25,0.0,3.48756e-08,--,na
60.43,110.5,0.0,3.47909e-08,--,na
60.43,110.75,0.0,3.576285e-08,--,na
60.43,111.0,0.0,3.55104e-08,--,na
60.43,111.25,0.0,3.59543e-08,--,na
60.43,111.5,0.0,3.537075e-08,--,na
60.43,111.75,0.0,3.616035e-08,--,na
60.43,112.0,0.0,3.62539e-08,--,na
60.43,112.25,0.0,3.61264e-08,--,na
60.43,112.5,0.0,3.6475899999999996e-08,--,na
60.43,112.75,0.0,3.6829449999999996e-08,--,na
60.43,113.0,0.0,3.69711e-08,--,na
60.43,113.25,0.0,3.6232949999999995e-08,--,na
60.43,113.5,0.0,3.76808e-08,--,na
60.43,113.75,0.0,3.79386e-08,--,na
60.43,114.0,0.0,3.838655e-08,--,na
60.43,114.25,0.0,3.89701e-08,--,na
60.43,114.5,0.0,3.85236e-08,--,na
60.43,114.75,0.0,3.874215e-08,--,na
60.43,115.0,0.0,3.91266e-08,--,na
60.43,115.25,0.0,3.879565e-08,--,na
60.43,115.5,0.0,3.99232e-08,--,na
60.43,115.75,0.0,4.05293e-08,--,na
60.43,116.0,0.0,4.09584e-08,--,na
60.43,116.25,0.0,4.1227150000000004e-08,--,na
60.43,116.5,0.0,4.151935e-08,--,na
60.43,116.75,0.0,4.21044e-08,--,na
60.43,117.0,0.0,4.14973e-08,--,na
60.43,117.25,0.0,4.2009650000000005e-08,--,na
60.43,117.5,0.0,4.33213e-08,--,na
60.43,117.75,0.0,4.330175e-08,--,na
60.43,118.0,0.0,4.41511e-08,--,na
60.43,118.25,0.0,4.39127e-08,--,na
60.43,118.5,0.0,4.4557e-08,--,na
60.43,118.75,0.0,4.4396e-08,--,na
60.43,119.0,0.0,4.49748e-08,--,na
60.43,119.25,0.0,4.5142499999999995e-08,--,na
60.43,119.5,0.0,4.515155e-08,--,na
60.43,119.75,0.0,4.560845e-08,--,na
60.43,120.0,0.0,4.62527e-08,--,na
60.43,120.25,0.0,4.608165e-08,--,na
60.43,120.5,0.0,4.68641e-08,--,na
60.43,120.75,0.0,4.7111949999999996e-08,--,na
60.43,121.0,0.0,4.70099e-08,--,na
60.43,121.25,0.0,4.70491e-08,--,na
60.43,121.5,0.0,4.6115450000000004e-08,--,na
60.43,121.75,0.0,4.6992650000000004e-08,--,na
60.43,122.0,0.0,4.71182e-08,--,na
60.43,122.25,0.0,4.8157199999999997e-08,--,na
60.43,122.5,0.0,4.7193e-08,--,na
60.43,122.75,0.0,4.751515e-08,--,na
60.43,123.0,0.0,4.73121e-08,--,na
60.43,123.25,0.0,4.7776949999999996e-08,--,na
60.43,123.5,0.0,4.78697e-08,--,na
60.43,123.75,0.0,4.753485e-08,--,na
60.43,124.0,0.0,4.79518e-08,--,na
60.43,124.25,0.0,4.7697550000000003e-08,--,na
60.43,124.5,0.0,4.78917e-08,--,na
60.43,124.75,0.0,4.74235e-08,--,na
60.43,125.0,0.0,4.75948e-08,--,na
60.43,125.25,0.0,4.73034e-08,--,na
60.43,125.5,0.0,4.74629e-08,--,na
60.43,125.75,0.0,4.666485e-08,--,na
60.43,126.0,0.0,4.76833e-08,--,na
60.43,126.25,0.0,4.62642e-08,--,na
60.43,126.5,0.0,4.6257650000000004e-08,--,na
60.43,126.75,0.0,4.5358249999999995e-08,--,na
60.43,127.0,0.0,4.51844e-08,--,na
60.43,127.25,0.0,4.50241e-08,--,na
60.43,127.5,0.0,4.48853e-08,--,na
60.43,127.75,0.0,4.431155e-08,--,na
60.43,128.0,0.0,4.38763e-08,--,na
60.43,128.25,0.0,4.333125e-08,--,na
60.43,128.5,0.0,4.28191e-08,--,na
60.43,128.75,0.0,4.204615e-08,--,na
60.43,129.0,0.0,4.18981e-08,--,na
60.43,129.25,0.0,4.135765e-08,--,na
60.43,129.5,0.0,4.1978200000000005e-08,--,na
60.43,129.75,0.0,4.017795e-08,--,na
60.43,130.0,0.0,3.95003e-08,--,na
60.43,130.25,0.0,3.96551e-08,--,na
60.43,130.5,0.0,3.90623e-08,--,na
60.43,130.75,0.0,3.83966e-08,--,na
60.43,131.0,0.0,3.76266e-08,--,na
60.43,131.25,0.0,3.6999899999999995e-08,--,na
60.43,131.5,0.0,3.66997e-08,--,na
60.43,131.75,0.0,3.68854e-08,--,na
60.43,132.0,0.0,3.58958e-08,--,na
60.43,132.25,0.0,3.5820049999999995e-08,--,na
60.43,132.5,0.0,3.56157e-08,--,na
60.43,132.75,0.0,3.535365e-08,--,na
60.43,133.0,0.0,3.50829e-08,--,na
60.43,133.25,0.0,3.415755e-08,--,na
60.43,133.5,0.0,3.4276550000000005e-08,--,na
60.43,133.75,0.0,3.44026e-08,--,na
60.43,134.0,0.0,3.391825e-08,--,na
60.43,134.25,0.0,3.35942e-08,--,na
60.43,134.5,0.0,3.35909e-08,--,na
60.43,134.75,0.0,3.41789e-08,--,na
60.43,135.0,0.0,3.42451e-08,--,na
60.43,135.25,0.0,3.419155e-08,--,na
60.43,135.5,0.0,3.49488e-08,--,na
60.43,135.75,0.0,3.49449e-08,--,na
60.43,136.0,0.0,3.54786e-08,--,na
60.43,136.25,0.0,3.59707e-08,--,na
60.43,136.5,0.0,3.566255e-08,--,na
60.43,136.75,0.0,3.6407e-08,--,na
60.43,137.0,0.0,3.66774e-08,--,na
60.43,137.25,0.0,3.69667e-08,--,na
60.43,137.5,0.0,3.70423e-08,--,na
60.43,137.75,0.0,3.7252550000000005e-08,--,na
60.43,138.0,0.0,3.68959e-08,--,na
60.43,138.25,0.0,3.754735e-08,--,na
60.43,138.5,0.0,3.7422650000000005e-08,--,na
60.43,138.75,0.0,3.79301e-08,--,na
60.43,139.0,0.0,3.805015e-08,--,na
60.43,139.25,0.0,3.86991e-08,--,na
60.43,139.5,0.0,3.83351e-08,--,na
60.43,139.75,0.0,3.80632e-08,--,na
60.43,140.0,0.0,3.78025e-08,--,na
60.43,140.25,0.0,3.8247100000000004e-08,--,na
60.43,140.5,0.0,3.721065e-08,--,na
60.43,140.75,0.0,3.76448e-08,--,na
60.43,141.0,0.0,3.778525e-08,--,na
60.43,141.25,0.0,3.707525e-08,--,na
60.43,141.5,0.0,3.79312e-08,--,na
60.43,141.75,0.0,3.737155e-08,--,na
60.43,142.0,0.0,3.74977e-08,--,na
60.43,142.25,0.0,3.73879e-08,--,na
60.43,142.5,0.0,3.656145e-08,--,na
60.43,142.75,0.0,3.73171e-08,--,na
60.43,143.0,0.0,3.6863799999999994e-08,--,na
60.43,143.25,0.0,3.665255e-08,--,na
60.43,143.5,0.0,3.63239e-08,--,na
60.43,143.75,0.0,3.57229e-08,--,na
60.43,144.0,0.0,3.5303e-08,--,na
60.43,144.25,0.0,3.642425e-08,--,na
60.43,144.5,0.0,3.5587399999999995e-08,--,na
60.43,144.75,0.0,3.5915e-08,--,na
60.43,145.0,0.0,3.567855e-08,--,na
60.43,145.25,0.0,3.55478e-08,--,na
60.43,145.5,0.0,3.65023e-08,--,na
60.43,145.75,0.0,3.6025649999999995e-08,--,na
60.43,146.0,0.0,3.59394e-08,--,na
60.43,146.25,0.0,3.48132e-08,--,na
60.43,146.5,0.0,3.5124150000000006e-08,--,na
60.43,146.75,0.0,3.49338e-08,--,na
60.43,147.0,0.0,3.555015e-08,--,na
60.43,147.25,0.0,3.559075e-08,--,na
60.43,147.5,0.0,3.5253299999999994e-08,--,na
60.43,147.75,0.0,3.57805e-08,--,na
60.43,148.0,0.0,3.57488e-08,--,na
60.43,148.25,0.0,3.53682e-08,--,na
60.43,148.5,0.0,3.5736750000000004e-08,--,na
60.43,148.75,0.0,3.59095e-08,--,na
60.43,149.0,0.0,3.62395e-08,--,na
60.43,149.25,0.0,3.6987199999999997e-08,--,na
60.43,149.5,0.0,3.62498e-08,--,na
60.43,149.75,0.0,3.6718549999999995e-08,--,na
60.43,150.0,0.0,3.67392e-08,--,na
60.43,150.25,0.0,3.756105e-08,--,na
60.43,150.5,0.0,3.7716449999999996e-08,--,na
60.43,150.75,0.0,3.80204e-08,--,na
60.43,151.0,0.0,3.779805e-08,--,na
60.43,151.25,0.0,3.8768200000000004e-08,--,na
60.43,151.5,0.0,3.89175e-08,--,na
60.43,151.75,0.0,3.83338e-08,--,na
60.43,152.0,0.0,3.850315e-08,--,na
60.43,152.25,0.0,3.87868e-08,--,na
60.43,152.5,0.0,3.869695e-08,--,na
60.43,152.75,0.0,3.91498e-08,--,na
60.43,153.0,0.0,3.93749e-08,--,na
60.43,153.25,0.0,3.900085e-08,--,na
60.43,153.5,0.0,3.92962e-08,--,na
60.43,153.75,0.0,3.922915e-08,--,na
60.43,154.0,0.0,3.87309e-08,--,na
60.43,154.25,0.0,3.839615e-08,--,na
60.43,154.5,0.0,3.90074e-08,--,na
60.43,154.75,0.0,3.8654849999999996e-08,--,na
60.43,155.0,0.0,3.85669e-08,--,na
60.43,155.25,0.0,3.801175e-08,--,na
60.43,155.5,0.0,3.86053e-08,--,na
60.43,155.75,0.0,3.8701400000000005e-08,--,na
60.43,156.0,0.0,3.8901199999999996e-08,--,na
60.43,156.25,0.0,3.80478e-08,--,na
60.43,156.5,0.0,3.83035e-08,--,na
60.43,156.75,0.0,3.815e-08,--,na
60.43,157.0,0.0,3.7864800000000004e-08,--,na
60.43,157.25,0.0,3.74477e-08,--,na
60.43,157.5,0.0,3.69718e-08,--,na
60.43,157.75,0.0,3.751805e-08,--,na
60.43,158.0,0.0,3.730125e-08,--,na
60.43,158.25,0.0,3.729295e-08,--,na
60.43,158.5,0.0,3.72651e-08,--,na
60.43,158.75,0.0,3.7296449999999996e-08,--,na
60.43,159.0,0.0,3.690075e-08,--,na
60.43,159.25,0.0,3.71005e-08,--,na
60.43,159.5,0.0,3.7035e-08,--,na
60.43,159.75,0.0,3.68201e-08,--,na
60.43,160.0,0.0,3.61054e-08,--,na
60.43,160.25,0.0,3.597975e-08,--,na
60.43,160.5,0.0,3.59336e-08,--,na
60.43,160.75,0.0,3.578175e-08,--,na
60.43,161.0,0.0,3.46773e-08,--,na
60.43,161.25,0.0,3.500585e-08,--,na
60.43,161.5,0.0,3.48587e-08,--,na
60.43,161.75,0.0,3.514825e-08,--,na
60.43,162.0,0.0,3.50289e-08,--,na
60.43,162.25,0.0,3.547255e-08,--,na
60.43,162.5,0.0,3.54315e-08,--,na
60.43,162.75,0.0,3.5736349999999996e-08,--,na
60.43,163.0,0.0,3.516215e-08,--,na
60.43,163.25,0.0,3.496255e-08,--,na
60.43,163.5,0.0,3.5035e-08,--,na
60.43,163.75,0.0,3.45775e-08,--,na
60.43,164.0,0.0,3.485805e-08,--,na
60.43,164.25,0.0,3.479115e-08,--,na
60.43,164.5,0.0,3.4571e-08,--,na
60.43,164.75,0.0,3.411525e-08,--,na
60.43,165.0,0.0,3.45994e-08,--,na
60.43,165.25,0.0,3.43537e-08,--,na
60.43,165.5,0.0,3.46047e-08,--,na
60.43,165.75,0.0,3.470075e-08,--,na
60.43,166.0,0.0,3.44665e-08,--,na
60.43,166.25,0.0,3.41003e-08,--,na
60.43,166.5,0.0,3.4132e-08,--,na
60.43,166.75,0.0,3.420645e-08,--,na
60.43,167.0,0.0,3.42873e-08,--,na
60.43,167.25,0.0,3.34187e-08,--,na
60.43,167.5,0.0,3.3882e-08,--,na
60.43,167.75,0.0,3.37671e-08,--,na
60.43,168.0,0.0,3.37289e-08,--,na
60.43,168.25,0.0,3.38241e-08,--,na
60.43,168.5,0.0,3.3319499999999996e-08,--,na
60.43,168.75,0.0,3.40297e-08,--,na
60.43,169.0,0.0,3.372645e-08,--,na
60.43,169.25,0.0,3.3905750000000006e-08,--,na
60.43,169.5,0.0,3.30356e-08,--,na
60.43,169.75,0.0,3.39814e-08,--,na
60.43,170.0,0.0,3.33984e-08,--,na
60.43,170.25,0.0,3.31051e-08,--,na
60.43,170.5,0.0,3.3060799999999997e-08,--,na
60.43,170.75,0.0,3.290815e-08,--,na
60.43,171.0,0.0,3.30032e-08,--,na
60.43,171.25,0.0,3.27911e-08,--,na
60.43,171.5,0.0,3.30164e-08,--,na
60.43,171.75,0.0,3.30995e-08,--,na
60.43,172.0,0.0,3.341895e-08,--,na
60.43,172.25,0.0,3.31672e-08,--,na
60.43,172.5,0.0,3.209685e-08,--,na
60.43,172.75,0.0,3.303825e-08,--,na
60.43,173.0,0.0,3.2907850000000004e-08,--,na
60.43,173.25,0.0,3.33084e-08,--,na
60.43,173.5,0.0,3.26934e-08,--,na
60.43,173.75,0.0,3.3099349999999997e-08,--,na
60.43,174.0,0.0,3.296445e-08,--,na
60.43,174.25,0.0,3.3338e-08,--,na
60.43,174.5,0.0,3.361845e-08,--,na
60.43,174.75,0.0,3.39936e-08,--,na
60.43,175.0,0.0,3.273e-08,--,na
60.43,175.25,0.0,3.30661e-08,--,na
60.43,175.5,0.0,3.335655e-08,--,na
60.43,175.75,0.0,3.30866e-08,--,na
60.43,176.0,0.0,3.3446e-08,--,na
60.43,176.25,0.0,3.279025e-08,--,na
60.43,176.5,0.0,3.29012e-08,--,na
60.43,176.75,0.0,3.3040199999999994e-08,--,na
60.43,177.0,0.0,3.33282e-08,--,na
60.43,177.25,0.0,3.32484e-08,--,na
60.43,177.5,0.0,3.318815e-08,--,na
60.43,177.75,0.0,3.2915899999999996e-08,--,na
60.43,178.0,0.0,3.21993e-08,--,na
60.43,178.25,0.0,3.228555e-08,--,na
60.43,178.5,0.0,3.23645e-08,--,na
60.43,178.75,0.0,3.20145e-08,--,na
60.43,179.0,0.0,3.2055299999999995e-08,--,na
60.43,179.25,0.0,3.22041e-08,--,na
60.43,179.5,0.0,3.19139e-08,--,na
60.43,179.75,0.0,3.157265e-08,--,na
60.43,180.0,0.0,3.1417550000000006e-08,--,na
60.43,180.25,0.0,3.19667e-08,--,na
60.43,180.5,0.0,3.16547e-08,--,na
60.43,180.75,0.0,3.13135e-08,--,na
60.43,181.0,0.0,3.143405e-08,--,na
60.43,181.25,0.0,3.13708e-08,--,na
60.43,181.5,0.0,3.10272e-08,--,na
60.43,181.75,0.0,3.1199100000000006e-08,--,na
60.43,182.0,0.0,3.1140950000000005e-08,--,na
60.43,182.25,0.0,2.96742e-08,--,na
60.43,182.5,0.0,3.02959e-08,--,na
60.43,182.75,0.0,3.048085e-08,--,na
60.43,183.0,0.0,3.03291e-08,--,na
60.43,183.25,0.0,3.0505649999999996e-08,--,na
60.43,183.5,0.0,3.0302e-08,--,na
60.43,183.75,0.0,2.96788e-08,--,na
60.43,184.0,0.0,2.988555e-08,--,na
60.43,184.25,0.0,2.9639e-08,--,na
60.43,184.5,0.0,2.904585e-08,--,na
60.43,184.75,0.0,3.0325e-08,--,na
60.43,185.0,0.0,2.941445e-08,--,na
60.43,185.25,0.0,2.92489e-08,--,na
60.43,185.5,0.0,2.90294e-08,--,na
60.43,185.75,0.0,3.021005e-08,--,na
60.43,186.0,0.0,2.96519e-08,--,na
60.43,186.25,0.0,2.931145e-08,--,na
60.43,186.5,0.0,2.98636e-08,--,na
60.43,186.75,0.0,2.87757e-08,--,na
60.43,187.0,0.0,2.90511e-08,--,na
60.43,187.25,0.0,2.94744e-08,--,na
60.43,187.5,0.0,2.9185900000000002e-08,--,na
60.43,187.75,0.0,2.89682e-08,--,na
60.43,188.0,0.0,2.90388e-08,--,na
60.43,188.25,0.0,2.962925e-08,--,na
60.43,188.5,0.0,2.99239e-08,--,na
60.43,188.75,0.0,2.971245e-08,--,na
60.43,189.0,0.0,2.929025e-08,--,na
60.43,189.25,0.0,2.93447e-08,--,na
60.43,189.5,0.0,2.8884e-08,--,na
60.43,189.75,0.0,2.9926399999999995e-08,--,na
60.43,190.0,0.0,2.93874e-08,--,na
60.43,190.25,0.0,2.991475e-08,--,na
60.43,190.5,0.0,2.90527e-08,--,na
60.43,190.75,0.0,2.9799300000000004e-08,--,na
60.43,191.0,0.0,2.91892e-08,--,na
60.43,191.25,0.0,2.925135e-08,--,na
60.43,191.5,0.0,2.9305950000000002e-08,--,na
60.43,191.75,0.0,2.919555e-08,--,na
60.43,192.0,0.0,2.96155e-08,--,na
60.43,192.25,0.0,2.942775e-08,--,na
60.43,192.5,0.0,2.98585e-08,--,na
60.43,192.75,0.0,2.912995e-08,--,na
60.43,193.0,0.0,2.99488e-08,--,na
60.43,193.25,0.0,2.9740999999999998e-08,--,na
60.43,193.5,0.0,2.851325e-08,--,na
60.43,193.75,0.0,2.88783e-08,--,na
60.43,194.0,0.0,2.92192e-08,--,na
60.43,194.25,0.0,2.935705e-08,--,na
60.43,194.5,0.0,2.92735e-08,--,na
60.43,194.75,0.0,2.91117e-08,--,na
60.43,195.0,0.0,2.910365e-08,--,na
60.43,195.25,0.0,2.924885e-08,--,na
60.43,195.5,0.0,2.95448e-08,--,na
60.43,195.75,0.0,2.92957e-08,--,na
60.43,196.0,0.0,3.14242e-08,--,na
60.43,196.25,0.0,2.94124e-08,--,na
60.43,196.5,0.0,2.92875e-08,--,na
60.43,196.75,0.0,2.932565e-08,--,na
60.43,197.0,0.0,2.81118e-08,--,na
60.43,197.25,0.0,2.879475e-08,--,na
60.43,197.5,0.0,2.88086e-08,--,na
60.43,197.75,0.0,2.927195e-08,--,na
60.43,198.0,0.0,3.07884e-08,--,na
60.43,198.25,0.0,2.86603e-08,--,na
60.43,198.5,0.0,2.9748750000000004e-08,--,na
60.43,198.75,0.0,2.912125e-08,--,na
60.43,199.0,0.0,2.89025e-08,--,na
60.43,199.25,0.0,2.9261050000000002e-08,--,na
60.43,199.5,0.0,2.95396e-08,--,na
60.43,199.75,0.0,2.87923e-08,--,na
60.43,200.0,0.0,2.90446e-08,--,na
60.43,200.25,0.0,2.94844e-08,--,na
60.43,200.5,0.0,2.95835e-08,--,na
60.43,200.75,0.0,3.01763e-08,--,na
60.43,201.0,0.0,2.96606e-08,--,na
60.43,201.25,0.0,2.9057e-08,--,na
60.43,201.5,0.0,2.95148e-08,--,na
60.43,201.75,0.0,2.90218e-08,--,na
60.43,202.0,0.0,2.9426250000000002e-08,--,na
60.43,202.25,0.0,2.91726e-08,--,na
60.43,202.5,0.0,2.923565e-08,--,na
60.43,202.75,0.0,2.96531e-08,--,na
60.43,203.0,0.0,2.9885e-08,--,na
60.43,203.25,0.0,2.952655e-08,--,na
60.43,203.5,0.0,2.94141e-08,--,na
60.43,203.75,0.0,2.942925e-08,--,na
60.43,204.0,0.0,3.0341e-08,--,na
60.43,204.25,0.0,3.008865e-08,--,na
60.43,204.5,0.0,3.01416e-08,--,na
60.43,204.75,0.0,2.966645e-08,--,na
60.43,205.0,0.0,3.01041e-08,--,na
60.43,205.25,0.0,3.031695e-08,--,na
60.43,205.5,0.0,2.97128e-08,--,na
60.43,205.75,0.0,3.05774e-08,--,na
60.43,206.0,0.0,2.984045e-08,--,na
60.43,206.25,0.0,2.9859e-08,--,na
60.43,206.5,0.0,3.0432e-08,--,na
60.43,206.75,0.0,3.05663e-08,--,na
60.43,207.0,0.0,3.03875e-08,--,na
60.43,207.25,0.0,3.0528350000000006e-08,--,na
60.43,207.5,0.0,3.058555e-08,--,na
60.43,207.75,0.0,3.05093e-08,--,na
60.43,208.0,0.0,3.04624e-08,--,na
60.43,208.25,0.0,3.0767800000000004e-08,--,na
60.43,208.5,0.0,3.109915e-08,--,na
60.43,208.75,0.0,3.03681e-08,--,na
60.43,209.0,0.0,3.10947e-08,--,na
60.43,209.25,0.0,2.9889099999999996e-08,--,na
60.43,209.5,0.0,3.11412e-08,--,na
60.43,209.75,0.0,3.0927699999999994e-08,--,na
60.43,210.0,0.0,3.05327e-08,--,na
60.43,210.25,0.0,3.0137300000000003e-08,--,na
60.43,210.5,0.0,3.07066e-08,--,na
60.43,210.75,0.0,3.01189e-08,--,na
60.43,211.0,0.0,3.07739e-08,--,na
60.43,211.25,0.0,3.111625e-08,--,na
60.43,211.5,0.0,3.108935e-08,--,na
60.43,211.75,0.0,3.11714e-08,--,na
60.43,212.0,0.0,3.1106800000000004e-08,--,na
60.43,212.25,0.0,3.20202e-08,--,na
60.43,212.5,0.0,3.1459650000000006e-08,--,na
60.43,212.75,0.0,3.109315e-08,--,na
60.43,213.0,0.0,3.1838e-08,--,na
60.43,213.25,0.0,3.159935e-08,--,na
60.43,213.5,0.0,3.17229e-08,--,na
60.43,213.75,0.0,3.12621e-08,--,na
60.43,214.0,0.0,3.079665e-08,--,na
60.43,214.25,0.0,3.137775e-08,--,na
60.43,214.5,0.0,3.15814e-08,--,na
60.43,214.75,0.0,3.131165e-08,--,na
60.43,215.0,0.0,3.11725e-08,--,na
60.43,215.25,0.0,3.16421e-08,--,na
60.43,215.5,0.0,3.189485e-08,--,na
60.43,215.75,0.0,3.18615e-08,--,na
