ECM File Output,,,,,
Filename (includes date): 2025-09-08-12-00-dic1-168.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 1piece, left out bad top 22cm and bottom 26.5cm pre scan,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 32.43014453124998,,,,,
Y Right: 103.57991015624994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 254.05937500000002,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 254.05937500000002,,,,,
X max Position (raw - not laser corrected): 730.3453125000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
48.43,27.5,0.0,3.70657e-08,--,na
48.43,27.75,0.0,3.577505e-08,--,na
48.43,28.0,0.0,3.604615e-08,--,na
48.43,28.25,0.0,3.63059e-08,--,na
48.43,28.5,0.0,3.50532e-08,--,na
48.43,28.75,0.0,3.57538e-08,--,na
48.43,29.0,0.0,3.408665e-08,--,na
48.43,29.25,0.0,3.36451e-08,--,na
48.43,29.5,0.0,3.3397850000000004e-08,--,na
48.43,29.75,0.0,3.3374850000000005e-08,--,na
48.43,30.0,0.0,3.34001e-08,--,na
48.43,30.25,0.0,3.37939e-08,--,na
48.43,30.5,0.0,3.2530899999999997e-08,--,na
48.43,30.75,0.0,3.3025149999999994e-08,--,na
48.43,31.0,0.0,3.20338e-08,--,na
48.43,31.25,0.0,3.27475e-08,--,na
48.43,31.5,0.0,3.240865e-08,--,na
48.43,31.75,0.0,3.24055e-08,--,na
48.43,32.0,0.0,3.24788e-08,--,na
48.43,32.25,0.0,3.17532e-08,--,na
48.43,32.5,0.0,3.1092199999999996e-08,--,na
48.43,32.75,0.0,3.10621e-08,--,na
48.43,33.0,0.0,3.0625100000000003e-08,--,na
48.43,33.25,0.0,3.15828e-08,--,na
48.43,33.5,0.0,3.15656e-08,--,na
48.43,33.75,0.0,3.17212e-08,--,na
48.43,34.0,0.0,3.25005e-08,--,na
48.43,34.25,0.0,3.12655e-08,--,na
48.43,34.5,0.0,3.18724e-08,--,na
48.43,34.75,0.0,3.17624e-08,--,na
48.43,35.0,0.0,3.314255e-08,--,na
48.43,35.25,0.0,3.26618e-08,--,na
48.43,35.5,0.0,3.36201e-08,--,na
48.43,35.75,0.0,3.35249e-08,--,na
48.43,36.0,0.0,3.3839500000000003e-08,--,na
48.43,36.25,0.0,3.41249e-08,--,na
48.43,36.5,0.0,3.389195e-08,--,na
48.43,36.75,0.0,3.3992000000000004e-08,--,na
48.43,37.0,0.0,3.37594e-08,--,na
48.43,37.25,0.0,3.05361e-08,--,na
48.43,37.5,0.0,3.1218349999999994e-08,--,na
48.43,37.75,0.0,3.024795e-08,--,na
48.43,38.0,0.0,2.99888e-08,--,na
48.43,38.25,0.0,2.88873e-08,--,na
48.43,38.5,0.0,3.06442e-08,--,na
48.43,38.75,0.0,2.97078e-08,--,na
48.43,39.0,0.0,2.95376e-08,--,na
48.43,39.25,0.0,3.07369e-08,--,na
48.43,39.5,0.0,3.06494e-08,--,na
48.43,39.75,0.0,3.165285e-08,--,na
48.43,40.0,0.0,3.22746e-08,--,na
48.43,40.25,0.0,3.08483e-08,--,na
48.43,40.5,0.0,3.3018950000000003e-08,--,na
48.43,40.75,0.0,3.445655e-08,--,na
48.43,41.0,0.0,3.33958e-08,--,na
48.43,41.25,0.0,3.45556e-08,--,na
48.43,41.5,0.0,3.400605e-08,--,na
48.43,41.75,0.0,3.43615e-08,--,na
48.43,42.0,0.0,3.3838e-08,--,na
48.43,42.25,0.0,3.50444e-08,--,na
48.43,42.5,0.0,3.58419e-08,--,na
48.43,42.75,0.0,3.59403e-08,--,na
48.43,43.0,0.0,3.5474949999999996e-08,--,na
48.43,43.25,0.0,3.60973e-08,--,na
48.43,43.5,0.0,3.5302649999999996e-08,--,na
48.43,43.75,0.0,3.5978299999999996e-08,--,na
48.43,44.0,0.0,3.47933e-08,--,na
48.43,44.25,0.0,3.459785e-08,--,na
48.43,44.5,0.0,3.462575e-08,--,na
48.43,44.75,0.0,3.41924e-08,--,na
48.43,45.0,0.0,3.41535e-08,--,na
48.43,45.25,0.0,3.356985e-08,--,na
48.43,45.5,0.0,3.332995e-08,--,na
48.43,45.75,0.0,3.29919e-08,--,na
48.43,46.0,0.0,3.33109e-08,--,na
48.43,46.25,0.0,3.277155e-08,--,na
48.43,46.5,0.0,3.29631e-08,--,na
48.43,46.75,0.0,3.2314200000000005e-08,--,na
48.43,47.0,0.0,3.32571e-08,--,na
48.43,47.25,0.0,3.3233449999999995e-08,--,na
48.43,47.5,0.0,3.30516e-08,--,na
48.43,47.75,0.0,3.33318e-08,--,na
48.43,48.0,0.0,3.3469e-08,--,na
48.43,48.25,0.0,3.3153200000000003e-08,--,na
48.43,48.5,0.0,3.42906e-08,--,na
48.43,48.75,0.0,3.3701299999999995e-08,--,na
48.43,49.0,0.0,3.37017e-08,--,na
48.43,49.25,0.0,3.30239e-08,--,na
48.43,49.5,0.0,3.4384950000000004e-08,--,na
48.43,49.75,0.0,3.34015e-08,--,na
48.43,50.0,0.0,3.31951e-08,--,na
48.43,50.25,0.0,3.26659e-08,--,na
48.43,50.5,0.0,3.32762e-08,--,na
48.43,50.75,0.0,3.24803e-08,--,na
48.43,51.0,0.0,3.28891e-08,--,na
48.43,51.25,0.0,3.333435e-08,--,na
48.43,51.5,0.0,3.20343e-08,--,na
48.43,51.75,0.0,3.2665050000000004e-08,--,na
48.43,52.0,0.0,3.20338e-08,--,na
48.43,52.25,0.0,3.19424e-08,--,na
48.43,52.5,0.0,3.13396e-08,--,na
48.43,52.75,0.0,3.2677849999999995e-08,--,na
48.43,53.0,0.0,3.18477e-08,--,na
48.43,53.25,0.0,3.11547e-08,--,na
48.43,53.5,0.0,3.1935300000000004e-08,--,na
48.43,53.75,0.0,3.13154e-08,--,na
48.43,54.0,0.0,3.04203e-08,--,na
48.43,54.25,0.0,3.11095e-08,--,na
48.43,54.5,0.0,3.0854350000000005e-08,--,na
48.43,54.75,0.0,3.06663e-08,--,na
48.43,55.0,0.0,3.17543e-08,--,na
48.43,55.25,0.0,3.1055750000000003e-08,--,na
48.43,55.5,0.0,3.02491e-08,--,na
48.43,55.75,0.0,3.1574150000000004e-08,--,na
48.43,56.0,0.0,3.2021e-08,--,na
48.43,56.25,0.0,3.22013e-08,--,na
48.43,56.5,0.0,3.17038e-08,--,na
48.43,56.75,0.0,3.262205e-08,--,na
48.43,57.0,0.0,3.18324e-08,--,na
48.43,57.25,0.0,3.2378800000000004e-08,--,na
48.43,57.5,0.0,3.55013e-08,--,na
48.43,57.75,0.0,3.108545e-08,--,na
48.43,58.0,0.0,3.42601e-08,--,na
48.43,58.25,0.0,3.461505e-08,--,na
48.43,58.5,0.0,3.52025e-08,--,na
48.43,58.75,0.0,3.5014750000000006e-08,--,na
48.43,59.0,0.0,3.50418e-08,--,na
48.43,59.25,0.0,3.450085e-08,--,na
48.43,59.5,0.0,3.71752e-08,--,na
48.43,59.75,0.0,3.456935e-08,--,na
48.43,60.0,0.0,3.49462e-08,--,na
48.43,60.25,0.0,3.39262e-08,--,na
48.43,60.5,0.0,3.49616e-08,--,na
48.43,60.75,0.0,3.48776e-08,--,na
48.43,61.0,0.0,3.40413e-08,--,na
48.43,61.25,0.0,3.42222e-08,--,na
48.43,61.5,0.0,3.50896e-08,--,na
48.43,61.75,0.0,3.53578e-08,--,na
48.43,62.0,0.0,3.35246e-08,--,na
48.43,62.25,0.0,3.434625e-08,--,na
48.43,62.5,0.0,3.4148349999999995e-08,--,na
48.43,62.75,0.0,3.40709e-08,--,na
48.43,63.0,0.0,3.3722e-08,--,na
48.43,63.25,0.0,3.3077049999999995e-08,--,na
48.43,63.5,0.0,3.24756e-08,--,na
48.43,63.75,0.0,3.23265e-08,--,na
48.43,64.0,0.0,3.101085e-08,--,na
48.43,64.25,0.0,3.07347e-08,--,na
48.43,64.5,0.0,2.98532e-08,--,na
48.43,64.75,0.0,2.97921e-08,--,na
48.43,65.0,0.0,2.891145e-08,--,na
48.43,65.25,0.0,2.86058e-08,--,na
48.43,65.5,0.0,2.71746e-08,--,na
48.43,65.75,0.0,2.79311e-08,--,na
48.43,66.0,0.0,2.805655e-08,--,na
48.43,66.25,0.0,2.66099e-08,--,na
48.43,66.5,0.0,2.80499e-08,--,na
48.43,66.75,0.0,2.87327e-08,--,na
48.43,67.0,0.0,2.7243e-08,--,na
48.43,67.25,0.0,2.807745e-08,--,na
48.43,67.5,0.0,2.894525e-08,--,na
48.43,67.75,0.0,2.89667e-08,--,na
48.43,68.0,0.0,2.96616e-08,--,na
48.43,68.25,0.0,2.952575e-08,--,na
48.43,68.5,0.0,3.008695e-08,--,na
48.43,68.75,0.0,2.99278e-08,--,na
48.43,69.0,0.0,3.02466e-08,--,na
48.43,69.25,0.0,3.06959e-08,--,na
48.43,69.5,0.0,3.1471799999999995e-08,--,na
48.43,69.75,0.0,3.17437e-08,--,na
48.43,70.0,0.0,3.226335e-08,--,na
48.43,70.25,0.0,3.278415e-08,--,na
48.43,70.5,0.0,3.24489e-08,--,na
48.43,70.75,0.0,3.148495e-08,--,na
48.43,71.0,0.0,3.36643e-08,--,na
48.43,71.25,0.0,3.4198049999999996e-08,--,na
48.43,71.5,0.0,3.428755e-08,--,na
48.43,71.75,0.0,3.42699e-08,--,na
48.43,72.0,0.0,3.45916e-08,--,na
48.43,72.25,0.0,3.454575e-08,--,na
48.43,72.5,0.0,3.47032e-08,--,na
48.43,72.75,0.0,3.37253e-08,--,na
48.43,73.0,0.0,3.365095e-08,--,na
48.43,73.25,0.0,3.4721e-08,--,na
48.43,73.5,0.0,3.50781e-08,--,na
48.43,73.75,0.0,3.48999e-08,--,na
48.43,74.0,0.0,3.4831599999999995e-08,--,na
48.43,74.25,0.0,3.574715e-08,--,na
48.43,74.5,0.0,3.484585e-08,--,na
48.43,74.75,0.0,3.66113e-08,--,na
48.43,75.0,0.0,3.468255e-08,--,na
48.43,75.25,0.0,3.54162e-08,--,na
48.43,75.5,0.0,3.51442e-08,--,na
48.43,75.75,0.0,3.56229e-08,--,na
48.43,76.0,0.0,3.639285e-08,--,na
48.43,76.25,0.0,3.459415e-08,--,na
48.43,76.5,0.0,3.46369e-08,--,na
48.43,76.75,0.0,3.5576300000000003e-08,--,na
48.43,77.0,0.0,3.45474e-08,--,na
48.43,77.25,0.0,3.5442700000000005e-08,--,na
48.43,77.5,0.0,3.470085e-08,--,na
48.43,77.75,0.0,3.38273e-08,--,na
48.43,78.0,0.0,3.4411500000000003e-08,--,na
48.43,78.25,0.0,3.45492e-08,--,na
48.43,78.5,0.0,3.44264e-08,--,na
48.43,78.75,0.0,3.44956e-08,--,na
48.43,79.0,0.0,3.4549100000000006e-08,--,na
48.43,79.25,0.0,3.57785e-08,--,na
48.43,79.5,0.0,3.48237e-08,--,na
48.43,79.75,0.0,3.45088e-08,--,na
48.43,80.0,0.0,3.3475749999999995e-08,--,na
48.43,80.25,0.0,3.403025e-08,--,na
48.43,80.5,0.0,3.38417e-08,--,na
48.43,80.75,0.0,3.30209e-08,--,na
48.43,81.0,0.0,3.36904e-08,--,na
48.43,81.25,0.0,3.39079e-08,--,na
48.43,81.5,0.0,3.51183e-08,--,na
48.43,81.75,0.0,3.415825e-08,--,na
48.43,82.0,0.0,3.40511e-08,--,na
48.43,82.25,0.0,3.37963e-08,--,na
48.43,82.5,0.0,3.15766e-08,--,na
48.43,82.75,0.0,3.40038e-08,--,na
48.43,83.0,0.0,3.438385e-08,--,na
48.43,83.25,0.0,3.4082e-08,--,na
48.43,83.5,0.0,3.44981e-08,--,na
48.43,83.75,0.0,3.4737650000000004e-08,--,na
48.43,84.0,0.0,3.50148e-08,--,na
48.43,84.25,0.0,3.507825e-08,--,na
48.43,84.5,0.0,3.45936e-08,--,na
48.43,84.75,0.0,3.47159e-08,--,na
48.43,85.0,0.0,3.51013e-08,--,na
48.43,85.25,0.0,3.52038e-08,--,na
48.43,85.5,0.0,3.54851e-08,--,na
48.43,85.75,0.0,3.51048e-08,--,na
48.43,86.0,0.0,3.5055000000000005e-08,--,na
48.43,86.25,0.0,3.7116450000000004e-08,--,na
48.43,86.5,0.0,3.51916e-08,--,na
48.43,86.75,0.0,3.471295e-08,--,na
48.43,87.0,0.0,3.5635e-08,--,na
48.43,87.25,0.0,3.706925e-08,--,na
48.43,87.5,0.0,3.58191e-08,--,na
48.43,87.75,0.0,3.622305e-08,--,na
48.43,88.0,0.0,3.54693e-08,--,na
48.43,88.25,0.0,3.642665e-08,--,na
48.43,88.5,0.0,3.65137e-08,--,na
48.43,88.75,0.0,3.6445299999999996e-08,--,na
48.43,89.0,0.0,3.70569e-08,--,na
48.43,89.25,0.0,3.6428300000000003e-08,--,na
48.43,89.5,0.0,3.71633e-08,--,na
48.43,89.75,0.0,3.73282e-08,--,na
48.43,90.0,0.0,3.730465e-08,--,na
48.43,90.25,0.0,3.71468e-08,--,na
48.43,90.5,0.0,3.77462e-08,--,na
48.43,90.75,0.0,3.71344e-08,--,na
48.43,91.0,0.0,3.746145e-08,--,na
48.43,91.25,0.0,3.761235e-08,--,na
48.43,91.5,0.0,3.65184e-08,--,na
48.43,91.75,0.0,3.733905e-08,--,na
48.43,92.0,0.0,3.696425e-08,--,na
48.43,92.25,0.0,3.76662e-08,--,na
48.43,92.5,0.0,3.7255e-08,--,na
48.43,92.75,0.0,3.688455e-08,--,na
48.43,93.0,0.0,3.63745e-08,--,na
48.43,93.25,0.0,3.69135e-08,--,na
48.43,93.5,0.0,3.73469e-08,--,na
