,core,time,section,face,ACorDC,AC_col_sp,DC_col_sp,DC_volt,note,mm_per_encode_step,num_tracks,ACDC_offset,laser_offset,Y_left,Y_right,AC_edgespace,DC_edgespace,idx1_raw,idx1_rel,idx2_rel,idx3_rel,idx_abs,xmin,xmax,header,filename
37,dic1,2025-09-09-10-31,160,t,AC,10,25,1000,no breaks,0.25,5,305,-10,37.06514843749998,103.89542578124994,16,12,102.2046875,0.0,0.0,0.0,148.504,109.65156250000001,818.29375,22,../../data/raw_data/2025-09-09-10-31-dic1-160-t.txt
38,dic1,2025-09-09-10-43,160,t,DC,10,25,1000,no breaks,0.25,6,305,-10,37.06514843749998,103.89542578124994,16,12,102.2046875,0.0,0.0,0.0,148.504,109.65156250000001,818.29375,22,../../data/raw_data/2025-09-09-10-43-dic1-160-t.txt
35,dic1,2025-09-09-10-07,161,t,AC,10,25,1000,"1break, took the two good sections in middle for scan, left out junk above and below",0.25,6,305,-10,28.034753906249986,102.18092578124994,16,12,130.5625,0.0,0.0,0.0,149.298,133.553125,803.0359375,22,../../data/raw_data/2025-09-09-10-07-dic1-161-t.txt
36,dic1,2025-09-09-10-20,161,t,DC,10,25,1000,1break,0.25,7,305,-10,28.034753906249986,102.18092578124994,16,12,130.5625,0.0,0.0,0.0,149.298,133.553125,803.0359375,22,../../data/raw_data/2025-09-09-10-20-dic1-161-t.txt
33,dic1,2025-09-09-09-40,162,t,AC,10,25,1000,2 breaks,0.25,6,305,-10,43.51535937499998,115.16965234374995,16,12,142.78593750000002,0.0,0.0,0.0,150.328,150.7890625,628.5203125,22,../../data/raw_data/2025-09-09-09-40-dic1-162-t.txt
34,dic1,2025-09-09-09-49,162,t,DC,10,25,1000,2 breaks,0.25,6,305,-10,43.51535937499998,115.16965234374995,16,12,142.78593750000002,0.0,0.0,0.0,150.328,150.7890625,628.5203125,22,../../data/raw_data/2025-09-09-09-49-dic1-162-t.txt
31,dic1,2025-09-09-08-56,163,t,AC,10,25,1000,3breaks,0.25,6,305,-10,33.76662109374998,106.47312890624995,16,12,48.720312500000006,0.0,0.0,0.0,151.195,51.720312500000006,942.94375,22,../../data/raw_data/2025-09-09-08-56-dic1-163-t.txt
32,dic1,2025-09-09-09-11,163,t,DC,10,25,1000,3breaks,0.25,7,305,-10,33.76662109374998,106.47312890624995,16,12,48.720312500000006,0.0,0.0,0.0,151.195,51.720312500000006,942.94375,22,../../data/raw_data/2025-09-09-09-11-dic1-163-t.txt
29,dic1,2025-09-09-08-18,164,t,AC,10,25,1000,2 breaks,0.25,6,305,-10,30.655121093749983,100.47684374999994,16,12,56.376562500000006,0.0,0.0,0.0,152.228,61.462500000000006,1000.1796875,22,../../data/raw_data/2025-09-09-08-18-dic1-164-t.txt
30,dic1,2025-09-09-08-32,164,t,DC,10,25,1000,2 breaks,0.25,6,305,-10,30.655121093749983,100.47684374999994,16,12,56.376562500000006,0.0,0.0,0.0,152.228,61.462500000000006,1000.1796875,22,../../data/raw_data/2025-09-09-08-32-dic1-164-t.txt
27,dic1,2025-09-09-07-54,165,t,AC,10,25,1000,1 break,0.25,6,305,-10,25.699144531249985,102.95235156249994,16,12,69.09375,0.0,0.0,0.0,153.158,74.8078125,1001.171875,22,../../data/raw_data/2025-09-09-07-54-dic1-165-t.txt
28,dic1,2025-09-09-08-08,165,t,DC,10,25,1000,1 break,0.25,7,305,-10,25.699144531249985,102.95235156249994,16,12,69.09375,0.0,0.0,0.0,153.158,74.8078125,1001.171875,22,../../data/raw_data/2025-09-09-08-08-dic1-165-t.txt
25,dic1,2025-09-09-07-30,166,t,AC,10,25,1000,no breaks!!!:),0.25,6,305,-10,31.962824218749983,105.29242578124995,16,12,69.2109375,0.0,0.0,0.0,154.096,81.0171875,886.7906250000001,22,../../data/raw_data/2025-09-09-07-30-dic1-166-t.txt
26,dic1,2025-09-09-07-43,166,t,DC,10,25,1000,no breaks!!!:),0.25,7,305,-10,31.962824218749983,105.29242578124995,16,12,69.2109375,0.0,0.0,0.0,154.096,81.0171875,886.7906250000001,22,../../data/raw_data/2025-09-09-07-43-dic1-166-t.txt
15,dic1,2025-09-08-12-18,167,t,AC,10,25,1000,2breaks,0.25,6,305,-10,27.643832031249985,100.86677343749994,16,12,70.675,0.0,0.0,0.0,154.911,81.3484375,914.7390625,22,../../data/raw_data/2025-09-08-12-18-dic1-167-t.txt
16,dic1,2025-09-08-12-32,167,t,DC,10,25,1000,2breaks,0.25,7,305,-10,27.643832031249985,100.86677343749994,16,12,70.675,0.0,0.0,0.0,154.911,81.3484375,914.7390625,22,../../data/raw_data/2025-09-08-12-32-dic1-167-t.txt
13,dic1,2025-09-08-12-00,168,t,AC,10,25,1000,"1piece, left out bad top 22cm and bottom 26.5cm pre scan",0.25,6,305,-10,32.43014453124998,103.57991015624994,16,12,254.05937500000002,0.0,0.0,0.0,155.744,254.05937500000002,730.3453125000001,22,../../data/raw_data/2025-09-08-12-00-dic1-168-t.txt
14,dic1,2025-09-08-12-09,168,t,DC,10,25,1000,1piece,0.25,6,305,-10,32.43014453124998,103.57991015624994,16,12,254.05937500000002,0.0,0.0,0.0,155.744,254.05937500000002,730.3453125000001,22,../../data/raw_data/2025-09-08-12-09-dic1-168-t.txt
10,dic1,2025-09-08-11-20,169,t,AC,10,25,1000,1break!crater on bottom piece,0.25,6,305,-10,36.51001953124998,107.49061718749994,16,12,245.7578125,0.0,0.0,0.0,156.703,260.2796875,922.0187500000001,22,../../data/raw_data/2025-09-08-11-20-dic1-169-t.txt
11,dic1,2025-09-08-11-34,169,t,AC,10,25,1000,1break!crater on bottom piece,0.25,6,305,-10,36.51001953124998,107.49061718749994,16,12,245.7578125,0.0,0.0,0.0,156.703,260.2796875,922.0187500000001,22,../../data/raw_data/2025-09-08-11-34-dic1-169-t.txt
12,dic1,2025-09-08-11-47,169,t,DC,10,25,1000,1break!crater on bottom piece,0.25,6,305,-10,36.51001953124998,107.49061718749994,16,12,245.7578125,0.0,0.0,0.0,156.703,260.2796875,922.0187500000001,22,../../data/raw_data/2025-09-08-11-47-dic1-169-t.txt
8,dic1,2025-09-08-10-32,170,t,AC,10,25,1000,"2breaks, crater on bottom piece",0.25,6,305,-10,33.41241015624998,106.94491406249993,16,12,178.7359375,0.0,0.0,0.0,157.697,188.7359375,945.5078125,22,../../data/raw_data/2025-09-08-10-32-dic1-170-t.txt
9,dic1,2025-09-08-10-46,170,t,DC,10,25,1000,2breaks,0.25,7,305,-10,33.41241015624998,106.94491406249993,16,12,178.7359375,0.0,0.0,0.0,157.697,188.7359375,945.5078125,22,../../data/raw_data/2025-09-08-10-46-dic1-170-t.txt
6,dic1,2025-09-08-10-03,171,t,AC,10,25,1000,3breaks,0.25,6,305,-10,27.920156249999984,101.61240234374995,16,12,157.878125,0.0,0.0,0.0,158.493,168.878125,983.1343750000001,22,../../data/raw_data/2025-09-08-10-03-dic1-171-t.txt
7,dic1,2025-09-08-10-17,171,t,DC,10,25,1000,3breaks,0.25,7,305,-10,27.920156249999984,101.61240234374995,16,12,157.878125,0.0,0.0,0.0,158.493,168.878125,983.1343750000001,22,../../data/raw_data/2025-09-08-10-17-dic1-171-t.txt
